編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLNKKHOFFAA47CA,33,80.84,住家用,鋼筋混凝土造,75年5月19日,五層,五層
RPSNMLNKKHOFFAA47CA,33,80.84,住家用,鋼筋混凝土造,75年5月19日,五層,四層
RPSNMLMKKHOFFAA37CA,23,68.34,住家用,鋼筋混凝土造,84年8月21日,九層,三層
RPSNMLMKKHOFFAA37CA,23,5.50,見使用執照,鋼筋混凝土造,84年8月21日,九層,
RPSNMLMKKHOFFAA37CA,23,16.02,見使用執照,鋼筋混凝土造,84年8月21日,九層,
RPRNMLMKKHOFFAA27CA,,99.12,住家用,磚造,,三層,三層
RPPOMLMKKHOFFAA17CA,21,118.87,住家用,鋼筋混凝土造,87年1月19日,十層,四層
RPPOMLMKKHOFFAA17CA,21,19.56,共有部分,鋼筋混凝土造,87年1月19日,十層,
RPPOMLMKKHOFFAA17CA,21,50.57,共有部分,鋼筋混凝土造,87年1月19日,十層,
RPTNMLMKKHOFFAA47CA,23,79.19,住家用,鋼筋混凝土造,84年10月30日,十六層,五層 電梯樓梯間
RPTNMLMKKHOFFAA47CA,23,9.71,見使用執照,鋼筋混凝土造,84年10月30日,十六層,
RPQOMLLKKHOFFBA27CA,12,31.95,住家用,鋼筋混凝土造,96年6月22日,十四層,十三層
RPQOMLLKKHOFFBA27CA,12,16.41,共有部分,鋼筋混凝土造,96年6月22日,十四層,
RPTOMLRLKHOFFAA18CA,8,114.80,住家用,鋼筋混凝土造,99年11月5日,十四層,十一層
RPTOMLRLKHOFFAA18CA,8,75.29,見其他登記事項,鋼筋混凝土造,99年11月5日,十四層,
RPVOMLLKKHOFFBA77CA,,59.38,住家用,加強磚造,,四層,一層
RPVOMLLKKHOFFBA77CA,,59.38,住家用,加強磚造,,四層,二層
RPVOMLLKKHOFFBA77CA,,59.38,住家用,加強磚造,,四層,三層
RPVOMLLKKHOFFBA77CA,,49.04,住家用,加強磚造,,四層,四層
RPVNMLSKKHOFFBA38CA,41,21.36,住商用,鋼筋混凝土造,66年8月22日,十一層,七層
RPVNMLSKKHOFFBA38CA,41,4.93,共有部分,鋼筋混凝土造,66年8月22日,十一層,
RPVNMLSKKHOFFBA38CA,41,35.29,住商用,鋼筋混凝土造,66年8月22日,十一層,七層
RPVNMLSKKHOFFBA38CA,41,8.15,共有部分,鋼筋混凝土造,66年8月22日,十一層,
RPUNMLKLKHOFFBA57CA,,94.14,工業用,鋼筋混凝土造,,四層,二層
RPVOMLLJKHOFFCA77CA,41,78.00,商業用,鋼筋混凝土造,66年12月15日,五層,二層
RPVOMLLJKHOFFCA77CA,41,78.00,商業用,鋼筋混凝土造,66年12月15日,五層,五層
RPUOMLTKKHOFFBA48CA,8,83.45,住家用,鋼筋混凝土造,100年4月22日,十五層,六層
RPUOMLTKKHOFFBA48CA,8,52.48,見其他登記事項,鋼筋混凝土造,100年4月22日,十五層,
RPUPMLLKKHOFFCA87CA,12,133.98,住家用,鋼筋混凝土造,95年10月27日,十三層,六層
RPUPMLLKKHOFFCA87CA,12,33.61,共有部分,鋼筋混凝土造,95年10月27日,十三層,
RPUPMLLKKHOFFCA87CA,12,17.02,共有部分,鋼筋混凝土造,95年10月27日,十三層,
RPUPMLLKKHOFFCA87CA,12,92.91,共有部分,鋼筋混凝土造,95年10月27日,十三層,
RPQOMLMLKHOFFAA37CA,5,41.64,住家用,鋼筋混凝土造,103年1月23日,十一層,八層
RPQOMLMLKHOFFAA37CA,5,16.35,見其他登記事項,鋼筋混凝土造,103年1月23日,十一層,
RPQOMLMLKHOFFAA37CA,5,7.68,見其他登記事項,鋼筋混凝土造,103年1月23日,十一層,
RPPNMLLKKHOFFAA96CA,,104.82,住家用,鋼筋混凝土造,,四層,四層
