編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLNKKHOFFAA47CA,南海段三小段,38.00,都市：住
RPSNMLMKKHOFFAA37CA,實踐段一小段,25.42,都市：住
RPRNMLMKKHOFFAA27CA,萬芳段三小段,40.33,都市：住
RPPOMLMKKHOFFAA17CA,實踐段二小段,39.56,都市：住
RPTNMLMKKHOFFAA47CA,興泰段三小段,.05,都市：其他
RPTNMLMKKHOFFAA47CA,興泰段三小段,1.10,都市：其他
RPTNMLMKKHOFFAA47CA,興泰段三小段,10.85,都市：其他
RPQOMLLKKHOFFBA27CA,福星段四小段,3.61,都市：商
RPQOMLLKKHOFFBA27CA,福星段四小段,.00,都市：其他
RPTOMLRLKHOFFAA18CA,萬隆段二小段,36.70,都市：住
RPVOMLLKKHOFFBA77CA,成功段一小段,66.00,都市：其他
RPVNMLSKKHOFFBA38CA,迪化段一小段,6.77,都市：商
RPUNMLKLKHOFFBA57CA,華江段三小段,5.00,都市：其他
RPUNMLKLKHOFFBA57CA,華江段三小段,31.75,都市：其他
RPUNMLKLKHOFFBA57CA,華江段三小段,.25,都市：其他
RPSNMLNKKHOFFCA67CA,石潭段四小段,17.73,都市：住
RPVOMLLJKHOFFCA77CA,中山段三小段,31.33,都市：商
RPUOMLTKKHOFFBA48CA,直興段一小段,9.25,都市：商
RPUPMLLKKHOFFCA87CA,東湖段二小段,17.66,都市：商
RPUPMLLKKHOFFCA87CA,東湖段二小段,19.07,都市：商
RPQOMLMLKHOFFAA37CA,河堤段四小段,13.69,都市：住
RPUPMLKLKHOFFCA87CA,康寧段四小段,.80,都市：其他
RPTPMLKLKHOFFCA77CA,康寧段四小段,.80,都市：其他
RPWPMLKLKHOFFCA08CA,康寧段四小段,.80,都市：其他
RPPNMLLKKHOFFAA96CA,興隆段三小段,36.31,都市：住
RPXPMLKLKHOFFCA18CA,康寧段四小段,.80,都市：其他
RPQQMLKLKHOFFCA57CA,康寧段四小段,.20,都市：其他
RPWNMLNKKHOFFCA08CA,德惠段三小段,39.33,都市：住
RPWNMLNKKHOFFCA08CA,德惠段三小段,7.67,都市：住
RPSQMLKLKHOFFCA77CA,康寧段四小段,.80,都市：其他
RPPQMLKLKHOFFCA47CA,康寧段四小段,.20,都市：其他
RPTQMLKLKHOFFCA87CA,康寧段四小段,3.60,都市：其他
RPRQMLKLKHOFFCA67CA,康寧段四小段,.40,都市：其他
RPWQMLKLKHOFFCA18CA,康寧段四小段,.20,都市：其他
RPUQMLKLKHOFFCA97CA,康寧段四小段,.60,都市：其他
RPXQMLKLKHOFFCA28CA,康寧段四小段,7.20,都市：其他
RPORMLKLKHOFFCA47CA,康寧段四小段,.80,都市：其他
RPROMLLJKHOFFDA47CA,民生段,24.20,都市：住
RPPNMLNKKHOFFAA17CA,木柵段四小段,323.00,都市：住
RPPNMLNKKHOFFAA17CA,木柵段四小段,44.00,都市：住
RPPNMLNKKHOFFAA17CA,木柵段四小段,4.50,都市：住
RPPNMLNKKHOFFAA17CA,木柵段四小段,17.12,都市：其他
RPWNMLLJKHOFFDA87CA,民生段,7.39,都市：商
RPWNMLLJKHOFFDA87CA,民生段,1.80,都市：商
RPWNMLLJKHOFFDA87CA,民生段,10.24,都市：商
RPSNMLOKKHOFFAA57CA,萬隆段二小段,20.20,都市：商
RPXNMLMKKHOFFAA87CA,木柵段四小段,24.64,都市：住
RPXNMLMKKHOFFAA87CA,木柵段四小段,8.49,都市：其他
RPOPMLMLKHOFFDA57CA,永春段三小段,53.50,都市：住
RPSNMLLKKHOFFDA57CA,寶清段七小段,7.74,都市：商
RPPOMLKLKHOFFDA37CA,三興段二小段,26.50,都市：住
RPOPMLLJKHOFFFA47CA,金華段四小段,2.33,都市：商
RPOPMLLJKHOFFFA47CA,金華段四小段,3.30,都市：商
RPPNMLLKKHOFFFA47CA,瑞安段三小段,.66,都市：住
RPPNMLLKKHOFFFA47CA,瑞安段三小段,.03,都市：商
RPVNMLMKKHOFFBA77CA,大龍段二小段,26.89,都市：住
RPSNMLLKKHOFFFA77CA,龍泉段二小段,7.30,都市：商
RPUNMLLKKHOFFFA97CA,學府段二小段,8.31,都市：商
RPWNMLOKKHOFFDA28CA,逸仙段二小段,7.12,都市：住
RPQNMLOKKHOFFDA67CA,虎林段四小段,1.76,都市：住
RPUNMLLKKHOFFAA57DA,政大段一小段,71.40,都市：住
RPVNMLLKKHOFFBA77DA,迪化段一小段,16.10,都市：商
RPVNMLLKKHOFFBA77DA,迪化段一小段,.10,都市：其他
RPROMLLJKHOFFBA37DA,福星段二小段,7.14,都市：商
RPTNMLNKKHOFFBA77DA,雙園段一小段,2.31,都市：住
RPWNMLMKKHOFFCA08DA,西湖段一小段,19.75,都市：住
RPQOMLSKKHOFFCA18DA,金泰段,43.31,都市：住
RPXOMLLJKHOFFDA18DA,美仁段二小段,12.38,都市：住
RPPPMLLJKHOFFDA47DA,南港段四小段,27.81,都市：住
RPOPMLLKKHOFFDA47DA,玉成段三小段,7.88,都市：住
RPQOMLNKKHOFFDA77DA,南港段一小段,29.81,都市：住
RPXPMLPLKHOFFDA78CA,南港段四小段,1.20,都市：住
RPPNMLMLKHOFFDA47CA,福德段三小段,27.50,都市：住
RPRNMLPLKHOFFEA08CA,百齡段六小段,11.67,都市：住
RPWNMLRLKHOFFDA68CA,信義段五小段,20.66,都市：住
RPWNMLRLKHOFFDA68CA,信義段五小段,22.00,都市：住
