village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
南區,房地(土地+建物),臺中市南區建成路1501~1530號,61.0,商,,,1071120,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,0590717,93.52,4,2,3,有,無,8000000,85543,,0.0,0,,RPPNMLMKKHOFFAB17CA
南區,車位,臺中市南區學府路135巷1~30號,0.0,,,,1080122,土地0建物0車位1,地下二層，地下三層,二十四層,其他,見其他登記事項,鋼筋混凝土造,0851211,15.33,0,0,0,有,有,390000,,坡道機械,0.0,390000,,RPWNMLMKKHOFFAB87CA
西區,房地(土地+建物),臺中市西區臺灣大道二段391~420號,7.41,商,,,1071219,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691013,26.43,1,0,1,有,有,2100000,79455,,0.0,0,,RPQOMLMKKHOFFAB37CA
西區,房地(土地+建物),臺中市西區南屯路一段1~30號,84.0,商,,,1071229,土地3建物1車位0,一層，二層，三層，地下層，見其他登記事項,三層,店面(店鋪),見其他登記事項,見其他登記事項,0600321,263.46,0,0,0,無,無,15600000,59212,,0.0,0,,RPSNMLNKKHOFFAB57CA
西區,土地,土庫段61~90地號,3807.0,其他,,,1080115,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,208110300,54665,,0.0,0,包含公共設施保留地之交易。;,RPVNMLNKKHOFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區南和一街6巷1~30號,24.32,住,,,1080105,土地1建物1車位1,一層，二層，三層,十二層,店面(店鋪),住商用,鋼筋混凝土造,0830718,169.85000000000002,4,2,3,有,有,5600000,32970,坡道機械,0.0,0,,RPROMLNKKHOFFAB57CA
西區,房地(土地+建物),臺中市西區大忠南街61~90號,10.53,住,,,1071221,土地1建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960705,98.41,2,2,1,有,有,7300000,74179,,0.0,0,,RPTOMLNKKHOFFAB77CA
南區,土地,半平厝段1441~1470地號,67.0,住,,,1080115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3648300,54452,,0.0,0,,RPQOMLPKKHOFFAB67CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路691~720號,11.23,住,,,1080105,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831014,131.37,4,2,2,有,有,6980000,53132,坡道機械,0.0,800000,,RPPNMLQKKHOFFAB57CA
西區,房地(土地+建物),臺中市西區大忠南街61~90號,7.17,商,,,1071227,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950810,87.39,2,1,1,有,有,6880000,78728,,0.0,0,,RPPNMLRKKHOFFAB67CA
西區,房地(土地+建物),臺中市西區綠川西街25巷1~30號,60.0,商,,,1080104,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061011,179.35,6,3,6,有,無,16500000,91999,,0.0,0,,RPPNMLSKKHOFFAB77CA
南區,土地,半平厝段1441~1470地號,49.0,其他,,,1080115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2668050,54450,,0.0,0,包含公共設施保留地之交易。;,RPTOMLSKKHOFFAB28CA
南區,房地(土地+建物),臺中市南區信義南街151~180號,20.78,住,,,1080123,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680122,80.41,4,2,2,有,無,2000000,24873,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQPMLSKKHOFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區美村路一段271~300號,11.12,商,,,1080113,土地2建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840526,197.76,2,2,2,有,有,10760000,54409,坡道平面,0.0,1000000,,RPOQMLSKKHOFFAB97CA
