編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLMKKHOFFAB87CA,22,13.81,見其他登記事項,鋼筋混凝土造,85年12月11日,二十四層,地下二層 地下三層
RPWNMLMKKHOFFAB87CA,22,1.52,見其他登記事項,鋼筋混凝土造,85年12月11日,二十四層,
RPPNMLMKKHOFFAB17CA,48,93.52,商業用,見其他登記事項,59年7月17日,二層,一層 二層 騎樓
RPQOMLMKKHOFFAB37CA,38,26.43,住家用,鋼筋混凝土造,69年10月13日,七層,六層
RPTOMLNKKHOFFAB77CA,11,71.11,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,一層
RPTOMLNKKHOFFAB77CA,11,9.82,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,
RPTOMLNKKHOFFAB77CA,11,17.48,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,
RPPNMLQKKHOFFAB57CA,24,104.27,住家用,鋼筋混凝土造,83年10月14日,十七層,七層
RPPNMLQKKHOFFAB57CA,24,9.04,共有部份,鋼筋混凝土造,83年10月14日,十七層,
RPPNMLQKKHOFFAB57CA,24,18.06,見其他登記事項,鋼筋混凝土造,83年10月14日,十七層,
RPPNMLRKKHOFFAB67CA,12,64.06,見其他登記事項,鋼筋混凝土造,95年8月10日,十五層,二層
RPPNMLRKKHOFFAB67CA,12,12.08,見其他登記事項,鋼筋混凝土造,95年8月10日,十五層,
RPPNMLRKKHOFFAB67CA,12,11.25,見其他登記事項,鋼筋混凝土造,95年8月10日,十五層,
RPSNMLNKKHOFFAB57CA,48,263.46,見其他登記事項,見其他登記事項,60年3月21日,三層,一層 二層 三層 地下層 見其他登記事項
RPPPMLNLKHOFFAB57CA,38,99.03,住家用,鋼筋混凝土造,70年6月16日,五層,四層
RPOQMLSKKHOFFAB97CA,24,43.98,見其他登記事項,鋼筋混凝土造,84年5月26日,十六層,
RPOQMLSKKHOFFAB97CA,24,13.58,見其他登記事項,鋼筋混凝土造,84年5月26日,十六層,
RPOQMLSKKHOFFAB97CA,24,118.29,見其他登記事項,鋼筋混凝土造,84年5月26日,十六層,十五層
RPOQMLSKKHOFFAB97CA,24,3.72,見其他登記事項,鋼筋混凝土造,84年5月26日,十六層,
RPOQMLSKKHOFFAB97CA,24,3.72,見其他登記事項,鋼筋混凝土造,84年5月26日,十六層,
RPOQMLSKKHOFFAB97CA,24,14.46,見其他登記事項,鋼筋混凝土造,84年5月26日,十六層,
RPPPMLLLKHOFFAB37CA,20,38.64,共有部份,見其他登記事項,87年10月2日,十三層,
RPPPMLLLKHOFFAB37CA,20,116.48,住家用,見其他登記事項,87年10月2日,十三層,七層
RPPPMLLLKHOFFAB37CA,20,.19,見其他登記事項,見其他登記事項,87年10月2日,十三層,一層
RPPPMLLLKHOFFAB37CA,20,13.72,見其他登記事項,見其他登記事項,87年10月2日,十三層,
RPPPMLLLKHOFFAB37CA,20,14.38,共有部份,見其他登記事項,87年10月2日,十三層,
RPROMLNKKHOFFAB57CA,24,127.74,住商用,鋼筋混凝土造,83年7月18日,十二層,一層 二層 三層
RPROMLNKKHOFFAB57CA,24,25.27,見其他登記事項,鋼筋混凝土造,83年7月18日,十二層,
RPROMLNKKHOFFAB57CA,24,5.87,見其他登記事項,鋼筋混凝土造,83年7月18日,十二層,地下一層
RPROMLNKKHOFFAB57CA,24,10.97,見其他登記事項,鋼筋混凝土造,83年7月18日,十二層,
RPPNMLSKKHOFFAB77CA,1,179.35,見其他登記事項,鋼筋混凝土造,106年10月11日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLTKKHOFFAB38CA,31,126.69,住家用,鋼筋混凝土造,76年9月15日,七層,一層 騎樓
RPUNMLTKKHOFFAB38CA,31,32.33,見其他登記事項,鋼筋混凝土造,76年9月15日,七層,
RPUNMLTKKHOFFAB38CA,31,32.33,見其他登記事項,鋼筋混凝土造,76年9月15日,七層,
RPUNMLTKKHOFFAB38CA,31,129.62,住家用,鋼筋混凝土造,76年9月15日,七層,二層
RPUNMLTKKHOFFAB38CA,31,131.82,住家用,鋼筋混凝土造,76年9月15日,七層,二層
RPUNMLTKKHOFFAB38CA,31,32.33,見其他登記事項,鋼筋混凝土造,76年9月15日,七層,
RPPNMLPLKHOFFAB57CA,,50.88,住家用,見其他登記事項,,三層,三層
RPPNMLNKKHOFFBB37CA,38,70.27,住家用,鋼筋混凝土造,70年4月2日,五層,五層
RPQPMLSKKHOFFAB08CA,40,80.41,住家用,鋼筋混凝土造,68年1月22日,六層,二層
RPPNMLMKKHOFFBB27CA,30,30.34,住家用,鋼筋混凝土造,78年4月19日,七層,七層
RPPNMLMKKHOFFBB27CA,30,11.74,共有部份,鋼筋混凝土造,78年4月19日,七層,
RPUPMLMKKHOFFBB97CA,12,54.86,住家用,鋼筋混凝土造,96年1月29日,十三層,五層
RPUPMLMKKHOFFBB97CA,12,20.61,共有部份,鋼筋混凝土造,96年1月29日,十三層,
RPSOMLKLKHOFFAB47CA,14,67.85,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,四層
RPSOMLKLKHOFFAB47CA,14,12.91,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPSOMLKLKHOFFAB47CA,14,22.76,見其他登記事項,鋼筋混凝土造,93年12月24日,十八層,
RPXNMLNKKHOFFBB18CA,48,106.68,住商用,加強磚造,60年4月8日,二層,一層 二層 騎樓
