編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLNKKHOFFAB87CA,土庫段,222.00,都市：其他
RPVNMLNKKHOFFAB87CA,半平厝段,140.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,69.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,2300.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,48.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,87.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,33.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,678.00,都市：其他
RPVNMLNKKHOFFAB87CA,土庫段,230.00,都市：其他
RPQOMLPKKHOFFAB67CA,半平厝段,67.00,都市：住
RPPNMLMKKHOFFAB17CA,頂橋子頭段,61.00,都市：商
RPQOMLMKKHOFFAB37CA,麻園頭段,2.15,都市：商
RPQOMLMKKHOFFAB37CA,麻園頭段,5.26,都市：商
RPTOMLNKKHOFFAB77CA,土庫段,10.53,都市：住
RPPNMLQKKHOFFAB57CA,半平厝段,11.23,都市：住
RPPNMLRKKHOFFAB67CA,土庫段,2.69,都市：住
RPPNMLRKKHOFFAB67CA,土庫段,4.48,都市：商
RPSNMLNKKHOFFAB57CA,公館段,17.00,都市：商
RPSNMLNKKHOFFAB57CA,公館段,50.00,都市：商
RPSNMLNKKHOFFAB57CA,公館段,17.00,都市：商
RPPPMLNLKHOFFAB57CA,頂橋子頭段,30.31,都市：住
RPOQMLSKKHOFFAB97CA,麻園頭段,4.98,都市：住
RPOQMLSKKHOFFAB97CA,麻園頭段,6.14,都市：商
RPPPMLLLKHOFFAB37CA,後子段,5.97,都市：住
RPPPMLLLKHOFFAB37CA,土庫段,10.96,都市：住
RPUNMLPLKHOFFAB08CA,後子段,63.50,都市：其他
RPUNMLPLKHOFFAB08CA,後子段,32.50,都市：其他
RPROMLNKKHOFFAB57CA,下橋子頭段,24.32,都市：住
RPPNMLSKKHOFFAB77CA,福壽段一小段,60.00,都市：商
RPUNMLTKKHOFFAB38CA,後子段,46.07,都市：住
RPUNMLTKKHOFFAB38CA,後子段,34.29,都市：住
RPPNMLPLKHOFFAB57CA,平等段六小段,2.75,都市：住
RPPNMLPLKHOFFAB57CA,平等段六小段,9.08,都市：住
RPPNMLNKKHOFFBB37CA,乾溝子段,12.41,都市：住
RPPNMLNKKHOFFBB37CA,乾溝子段,5.95,都市：住
RPOOMLMKKHOFFBB27CA,和平段,344.18,都市：住
RPOOMLMKKHOFFBB27CA,和平段,790.14,都市：住
RPTOMLSKKHOFFAB28CA,半平厝段,49.00,都市：其他
RPQPMLSKKHOFFAB08CA,信義段八小段,20.78,都市：住
RPPNMLMKKHOFFBB27CA,邱厝子段,5.83,都市：住
RPPNMLMKKHOFFBB27CA,邱厝子段,1.48,都市：住
