編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPKKHOFFBC67CA,23,70.26,住家用,鋼筋混凝土造,84年11月16日,五層,五層
RPPNMLPKKHOFFBC67CA,23,10.29,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPRNMLMKKHOFFBC57CA,20,79.98,住家用,鋼筋混凝土造,88年1月22日,七層,七層
RPRNMLMKKHOFFBC57CA,20,14.73,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPRNMLMKKHOFFBC57CA,20,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPRNMLMKKHOFFBC57CA,20,1.73,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPRNMLMKKHOFFBC57CA,20,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPWNMLPLKHOFFBC48CA,41,76.54,住家用,鋼筋混凝土造,67年2月14日,四層,四層
RPQNMLTKKHOFFCC48EA,23,52.24,住家用,鋼筋混凝土造,85年2月6日,五層,三層
RPQNMLTKKHOFFCC48EA,23,5.24,共用部份,鋼筋混凝土造,85年2月6日,五層,
RPQNMLOKKHOFFBC67CA,40,84.31,商業用,鋼筋混凝土造,67年8月11日,五層,一層 騎樓
RPUNMLLKKHOFFBC77CA,46,43.61,住家用,加強磚造,62年4月12日,二層,二層
RPSNMLKLKHOFFCC67CA,27,60.72,住家用,鋼筋混凝土造,81年2月28日,五層,二層
RPSNMLKLKHOFFCC67CA,27,1.98,共用部份,鋼筋混凝土造,81年2月28日,五層,
RPXNMLPLKHOFFBC68DA,35,98.92,住家用,鋼筋混凝土造,72年9月6日,五層,五層
RPQOMLNKLHOFFCC08EA,27,89.28,住家用,鋼筋混凝土造,80年11月15日,四層,一層
RPQOMLNKLHOFFCC08EA,27,5.72,共用部份,鋼筋混凝土造,80年11月15日,四層,
RPQNMLOKKHOFFCC77CA,23,76.23,住家用,鋼筋混凝土造,84年12月18日,十一層,九層
RPQNMLOKKHOFFCC77CA,23,1.91,共用部份,鋼筋混凝土造,84年12月18日,十一層,
RPQNMLOKKHOFFCC77CA,23,23.61,共用部份,鋼筋混凝土造,84年12月18日,十一層,
RPQNMLOKKHOFFCC77CA,23,2.12,共用部份,鋼筋混凝土造,84年12月18日,十一層,
RPUNMLOKKHOFFBC08CA,53,102.60,住商用,加強磚造,55年4月1日,三層,一層 二層 三層 騎樓
RPUNMLOKKHOFFBC08CA,53,102.60,住商用,加強磚造,55年4月1日,三層,一層 二層 三層 騎樓
