編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLPKKHOFFBC67CA,光明段,.06,都市：其他
RPPNMLPKKHOFFBC67CA,光明段,24.10,都市：住
RPPNMLPKKHOFFBC67CA,光明段,.02,都市：其他
RPPNMLPKKHOFFBC67CA,光明段,.13,都市：其他
RPPNMLPKKHOFFBC67CA,光明段,.03,都市：其他
RPPNMLPKKHOFFBC67CA,光明段,.03,都市：其他
RPRNMLMKKHOFFBC57CA,深澳段,24.53,都市：住
RPWNMLPLKHOFFBC48CA,港濱段,2.04,都市：商
RPWNMLPLKHOFFBC48CA,港濱段,28.71,都市：住
RPQNMLTKKHOFFCC48EA,榮華段,.88,都市：住
RPQNMLTKKHOFFCC48EA,榮華段,1.97,都市：商
RPQNMLTKKHOFFCC48EA,榮華段,9.70,都市：住
RPQNMLTKKHOFFCC48EA,榮華段,1.29,都市：商
RPQNMLTKKHOFFCC48EA,榮華段,5.16,都市：住
RPQNMLOKKHOFFBC67CA,延平段,1.10,都市：商
RPQNMLOKKHOFFBC67CA,延平段,4.20,都市：商
RPQNMLOKKHOFFBC67CA,延平段,13.30,都市：商
RPQNMLOKKHOFFBC67CA,延平段,3.30,都市：商
RPUNMLLKKHOFFBC77CA,東信段一小段,29.00,都市：住
RPSNMLKLKHOFFCC67CA,榮華段,7.80,都市：商
RPSNMLKLKHOFFCC67CA,榮華段,11.40,都市：住
RPXNMLPLKHOFFBC68DA,福祿段,21.20,都市：住
RPXNMLPLKHOFFBC68DA,福祿段,4.90,都市：住
RPQOMLNKLHOFFCC08EA,協和段,.26,都市：其他
RPQOMLNKLHOFFCC08EA,協和段,1.04,都市：其他
RPQOMLNKLHOFFCC08EA,協和段,65.15,都市：住
RPQOMLNKLHOFFCC08EA,協和段,2.34,都市：其他
RPQOMLNKLHOFFCC08EA,協和段,.09,都市：其他
RPQNMLOKKHOFFCC77CA,過港段,19.08,都市：住
RPQNMLOKKHOFFCC77CA,過港段,.11,都市：其他
RPQNMLOKKHOFFCC77CA,過港段,.21,都市：其他
RPQNMLOKKHOFFCC77CA,過港段,.28,都市：其他
RPUNMLOKKHOFFBC08CA,南新段,35.00,都市：商
RPUNMLOKKHOFFBC08CA,南新段,35.00,都市：商
