編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKKHOFFAD37CA,2,79.61,見其他登記事項,見其他登記事項,106年1月19日,十四層,六層
RPPNMLMKKHOFFAD37CA,2,73.74,見其他登記事項,見其他登記事項,106年1月19日,十四層,
RPRPMLLJKHOFFAD57CA,22,22.96,住家用,鋼筋混凝土造,86年1月18日,十二層,十一層
RPRPMLLJKHOFFAD57CA,22,3.42,共有部分,鋼筋混凝土造,86年1月18日,十二層,
RPRPMLLJKHOFFAD57CA,22,3.83,共有部分,鋼筋混凝土造,86年1月18日,十二層,
RPROMLLKKHOFFAD57CA,20,87.75,見其他登記事項,鋼筋混凝土造,88年1月13日,十三層,七層
RPROMLLKKHOFFAD57CA,20,42.50,共有部分,鋼筋混凝土造,88年1月13日,十三層,
RPROMLLKKHOFFAD57CA,20,10.70,共有部分,鋼筋混凝土造,88年1月13日,十三層,
RPPOMLMKKHOFFAD47CA,5,110.90,見其他登記事項,見其他登記事項,102年10月24日,十二層,七層
RPPOMLMKKHOFFAD47CA,5,80.92,見其他登記事項,見其他登記事項,102年10月24日,十二層,
RPPNMLSKKHOFFAD97CA,3,93.82,見其他登記事項,見其他登記事項,104年11月5日,二十四層,九層
RPPNMLSKKHOFFAD97CA,3,71.74,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPUOMLTKKHOFFAD68CA,42,87.90,住家用,加強磚造,65年9月2日,二層,一層 二層
RPOSMLMLKHOFFAD87CA,29,33.30,住家用,鋼筋混凝土造,79年4月30日,十二層,六層
RPOSMLMLKHOFFAD87CA,29,10.60,共有部分,鋼筋混凝土造,79年4月30日,十二層,
RPOSMLMLKHOFFAD87CA,29,.44,共有部分,鋼筋混凝土造,79年4月30日,十二層,
RPPOMLSKKHOFFAD08CA,38,278.02,住商用,鋼筋混凝土造,69年7月11日,三層,一層 二層 三層 騎樓 地下層
RPQOMLLKKHOFFAD47CA,26,82.66,住家用,鋼筋混凝土造,81年10月24日,六層,一層
RPQOMLLKKHOFFAD47CA,26,19.34,共有部分,鋼筋混凝土造,81年10月24日,六層,
RPVNMLLKKHOFFBD97CA,12,159.60,住家用,鋼筋混凝土構造,96年3月29日,三層,一層 二層 三層 屋頂突出物
RPPNMLNKKHOFFBD57CA,,204.11,住家用,鋼筋混凝土構造,106年12月7日,四層,一層 二層 三層 四層
RPSNMLLKKHOFFBD67CA,,163.98,住家用,鋼筋混凝土構造,107年9月3日,三層,一層 二層 三層 屋頂突出物
RPQNMLMKKHOFFBD57CA,1,281.06,見其他登記事項,鋼筋混凝土構造,106年11月23日,四層,一層 二層 三層 四層
RPTNMLSKKHOFFAD38CA,31,115.76,住家用,鋼筋混凝土造,76年10月30日,三層,一層 二層 三層 屋頂突出物
RPPNMLPKKHOFFAD67CA,25,329.73,住商用,鋼筋混凝土造,83年7月2日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPTOMLMLKHOFFBD08CA,38,89.10,住商用,加強磚造,69年7月21日,二層,一層 二層 騎樓
RPVNMLMKKHOFFCD18CA,19,95.66,住家用,鋼筋混凝土構造,89年1月15日,十三層,七層
RPVNMLMKKHOFFCD18CA,19,9.86,共有部分,鋼筋混凝土構造,89年1月15日,十三層,
RPVNMLMKKHOFFCD18CA,19,17.19,共有部分,鋼筋混凝土構造,89年1月15日,十三層,
RPVNMLMKKHOFFCD18CA,19,33.92,共有部分,鋼筋混凝土構造,89年1月15日,十三層,
RPRNMLMKKHOFFCD77CA,25,106.16,住家用,鋼筋混凝土構造,82年11月22日,八層,六層
