編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLMKKHOFFAD37CA,北安段,19.65,都市：商
RPSPMLLKKHOFFAD77CA,實踐段,75.33,都市：住
RPOPMLLKKHOFFAD37CA,光賢段,56.31,都市：住
RPRPMLLJKHOFFAD57CA,星鑽段,1.73,都市：商
RPRPMLLJKHOFFAD57CA,星鑽段,.55,都市：商
RPRPMLLJKHOFFAD57CA,星鑽段,.05,都市：其他
RPROMLLKKHOFFAD57CA,金華段,14.28,都市：住
RPPOMLMKKHOFFAD47CA,北元段,42.66,都市：住
RPPNMLSKKHOFFAD97CA,開元段,.03,都市：其他
RPPNMLSKKHOFFAD97CA,開元段,10.72,都市：商
RPPNMLSKKHOFFAD97CA,開元段,.51,都市：住
RPUOMLTKKHOFFAD68CA,大港段,77.15,都市：住
RPPOMLSKKHOFFAD08CA,武聖段,127.18,都市：住
RPQOMLLKKHOFFAD47CA,金華段,20.92,都市：住
RPVNMLLKKHOFFBD97CA,鹿北段,21.99,都市：住
RPVNMLLKKHOFFBD97CA,鹿北段,100.40,都市：住
RPQNMLSKKHOFFAD08CA,金城段,130.00,都市：住
RPQNMLSKKHOFFAD08CA,金城段,104.00,都市：住
RPQNMLSKKHOFFAD08CA,金城段,134.00,都市：住
RPPNMLNKKHOFFBD57CA,學東段,144.81,都市：住
RPPNMLNKKHOFFBD57CA,學東段,26.49,都市：住
RPSNMLLKKHOFFBD67CA,土城段,82.95,都市：住
RPQNMLMKKHOFFBD57CA,新順段,120.94,都市：住
RPTNMLSKKHOFFAD38CA,東豐段,69.00,都市：住
RPTNMLSKKHOFFAD38CA,東豐段,4.00,都市：其他
RPPNMLPKKHOFFAD67CA,金華段,88.00,都市：住
RPPNMLPKKHOFFBD77CA,國安段,2697.69,都市：住
RPXNMLSKKHOFFBD88CA,幸福段,.93,都市：其他
RPTOMLMLKHOFFBD08CA,海佃段,89.74,都市：住
RPXRMLNKKHOFFBD78CA,和農段,80.05,都市：其他
RPXRMLNKKHOFFBD78CA,和農段,3.93,都市：其他
RPXRMLNKKHOFFBD78CA,和農段,104.96,都市：其他
RPTRMLNKKHOFFBD38CA,和農段,19.83,都市：其他
RPTRMLNKKHOFFBD38CA,和農段,23.63,都市：其他
RPTRMLNKKHOFFBD38CA,和農段,630.59,都市：其他
RPTRMLNKKHOFFBD38CA,東和段,1.24,都市：其他
RPVRMLNKKHOFFBD58CA,和農段,1.48,都市：其他
RPVRMLNKKHOFFBD58CA,和農段,39.40,都市：其他
RPVRMLNKKHOFFBD58CA,東和段,.08,都市：其他
RPURMLNKKHOFFBD48CA,和農段,2.21,都市：其他
RPURMLNKKHOFFBD48CA,和農段,59.10,都市：其他
RPURMLNKKHOFFBD48CA,東和段,.12,都市：其他
RPOSMLNKKHOFFBD97CA,和農段,.48,都市：其他
RPOSMLNKKHOFFBD97CA,和農段,12.92,都市：其他
