編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPNMLMKKHOFFAD37CA,坡道平面,0,35.79
RPROMLLKKHOFFAD57CA,坡道平面,0,
RPPOMLMKKHOFFAD47CA,坡道平面,1200000,30.94
RPPNMLSKKHOFFAD97CA,坡道平面,0,32.55
RPVNMLMKKHOFFCD18CA,坡道平面,0,33.92
RPRNMLMKKHOFFCD77CA,坡道機械,600000,
RPUOMLNKKHOFFCD28CA,坡道平面,0,
RPSPMLLKKHOFFCD97CA,坡道平面,0,
RPQNMLQLKHOFFDD28CA,坡道平面,0,
RPQOMLNLKHOFFCD97CA,坡道平面,1200000,27.64
RPRNMLSKKHOFFKD56CA,坡道平面,1000000,
RPWNMLRJLHOFFKD96CA,坡道機械,0,
RPSNMLLKKHOFFKD58CA,坡道平面,0,
RPQOMLLLKHOFFKD58CA,坡道平面,0,
