編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLTKKHOFFAE58CA,46,73.56,,加強磚造,62年1月25日,二層,一層 二層
RPRNMLSKKHOFFAE28CA,22,112.96,住家用,鋼筋混凝土造,85年9月7日,十六層,十層
RPRNMLSKKHOFFAE28CA,22,45.38,見使用執照,鋼筋混凝土造,85年9月7日,十六層,
RPVOMLQLKHOFFAE68CA,4,232.87,住家用,鋼筋混凝土造,103年12月12日,二十九層,二十三層
RPVOMLQLKHOFFAE68CA,4,146.30,見其它登記事項,鋼筋混凝土造,103年12月12日,二十九層,
RPUPMLSKKHOFFAE78CA,39,85.77,,鋼筋混凝土造,68年8月11日,五層,四層
RPPOMLKLKHOFFAE47CA,79,139.94,,見使用執照,,二層,一層 二層 騎樓
RPXNMLMLKHOFFAE38CA,19,75.88,住家用,鋼筋混凝土造,88年9月30日,十四層,四層
RPXNMLMLKHOFFAE38CA,19,31.51,共有部分,鋼筋混凝土造,88年9月30日,十四層,
RPOOMLMLKHOFFAE57CA,4,149.12,住家用,鋼骨鋼筋混凝土造,104年6月11日,二十五層,十七層
RPOOMLMLKHOFFAE57CA,4,105.23,見其它登記事項,鋼骨鋼筋混凝土造,104年6月11日,二十五層,
RPVNMLQLKHOFFAE58CA,14,86.27,住家用,鋼筋混凝土造,93年11月4日,十四層,十層
RPVNMLQLKHOFFAE58CA,14,59.58,共有部分,鋼筋混凝土造,93年11月4日,十四層,
RPQNMLLKKHOFFBE57CA,42,83.16,,鋼筋混凝土造,66年6月27日,十二層,三層
RPRNMLLKKHOFFBE67CA,37,47.27,,鋼筋混凝土造,71年2月12日,十二層,五層
RPRNMLNKKHOFFCE97CA,29,105.73,住家用,鋼筋混凝土造,78年9月25日,五層,二層
RPRNMLNKKHOFFCE97CA,29,42.70,見使用執照,鋼筋混凝土造,78年9月25日,五層,
RPTOMLPKKHOFFBE38CA,22,41.20,住家用,鋼筋混凝土造,86年2月27日,二十四層,十五層 十六層
RPTOMLPKKHOFFBE38CA,22,14.08,見使用執照,鋼筋混凝土造,86年2月27日,二十四層,
RPUOMLLJKHOFFCE08CA,1,272.55,見其它登記事項,見其它登記事項,106年10月31日,一層,一層
RPTOMLLJKHOFFCE97CA,1,228.94,見其它登記事項,見其它登記事項,106年10月31日,一層,一層
RPRNMLOKKHOFFBE97CA,52,53.25,,加強磚造,56年6月22日,四層,二層
RPSNMLNKKHOFFBE97CA,39,79.39,,鋼筋混凝土造,69年4月21日,五層,四層
RPQNMLOKKHOFFBE87CA,52,66.09,,加強磚造,56年6月22日,四層,二層
RPTNMLOKKHOFFBE18CA,27,42.08,住家用,鋼筋混凝土造,80年9月26日,十二層,十層
RPTNMLOKKHOFFBE18CA,27,10.08,見使用執照,鋼筋混凝土造,80年9月26日,十二層,
RPTNMLNKKHOFFCE18CA,19,.93,見其它登記事項,鋼筋混凝土造,89年4月24日,十四層,一層 二層
RPTNMLNKKHOFFCE18CA,19,85.94,住家用,鋼筋混凝土造,89年4月24日,十四層,八層
RPTNMLNKKHOFFCE18CA,19,44.10,共有部份,鋼筋混凝土造,89年4月24日,十四層,
RPPOMLQKKHOFFCE18CA,,76.89,見其它登記事項,見其它登記事項,107年6月20日,十六層,九層
RPPOMLQKKHOFFCE18CA,,22.93,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPPOMLQKKHOFFCE18CA,,45.19,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSOMLQKKHOFFCE48CA,,150.21,見其它登記事項,見其它登記事項,107年6月20日,十六層,一層 夾層
RPSOMLQKKHOFFCE48CA,,10.73,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSOMLQKKHOFFCE48CA,,41.24,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSOMLPKKHOFFBE28CA,42,183.68,,鋼筋混凝土造,65年12月28日,三層,一層 二層 三層 騎樓 地下層
RPQOMLQKKHOFFCE28CA,,54.26,見其它登記事項,見其它登記事項,107年6月20日,十六層,七層
RPQOMLQKKHOFFCE28CA,,15.36,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPQOMLQKKHOFFCE28CA,,38.41,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPROMLQKKHOFFCE38CA,,64.04,見其它登記事項,見其它登記事項,107年6月20日,十六層,八層
RPROMLQKKHOFFCE38CA,,18.10,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPROMLQKKHOFFCE38CA,,40.67,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPSPMLKLKHOFFCE08CA,2,51.91,見其它登記事項,鋼筋混凝土造,105年10月17日,十五層,四層
RPSPMLKLKHOFFCE08CA,2,25.41,見其它登記事項,鋼筋混凝土造,105年10月17日,十五層,
RPVNMLTKKHOFFCE98CA,,54.26,見其它登記事項,見其它登記事項,107年6月20日,十六層,十四層
RPVNMLTKKHOFFCE98CA,,15.36,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPVNMLTKKHOFFCE98CA,,38.41,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPPNMLKLKHOFFCE57CA,24,28.44,住家用,鋼筋混凝土造,83年10月1日,二十層,七層
RPPNMLKLKHOFFCE57CA,24,12.38,見使用執照,鋼筋混凝土造,83年10月1日,二十層,
RPOOMLNKKHOFFCE77CA,42,117.79,,鋼筋混凝土造,66年2月2日,六層,六層
RPQOMLPKKHOFFDE28CA,,34.08,見其它登記事項,鋼筋混凝土造,107年7月6日,十五層,十三層
RPQOMLPKKHOFFDE28CA,,30.25,見其它登記事項,鋼筋混凝土造,107年7月6日,十五層,
RPQOMLSKKHOFFDE58CA,20,28.34,商業用,鋼骨鋼筋混凝土造,87年9月29日,二十五層,二十層
RPQOMLSKKHOFFDE58CA,20,12.34,見使用執照,鋼骨鋼筋混凝土造,87年9月29日,二十五層,
RPXNMLLKKHOFFDE48CA,23,102.81,住家用,鋼筋混凝土造,84年9月6日,二十三層,二十層 電梯樓梯間
RPXNMLLKKHOFFDE48CA,23,13.56,見使用執照,鋼筋混凝土造,84年9月6日,二十三層,
RPWNMLPKKHOFFDE78CA,4,113.38,住家用,鋼筋混凝土造,103年8月31日,十五層,九層
RPWNMLPKKHOFFDE78CA,4,108.04,共有部分,鋼筋混凝土造,103年8月31日,十五層,
RPOOMLSKKHOFFDE38CA,31,91.06,,鋼筋混凝土造,77年5月14日,七層,六層
RPXPMLLKKHOFFEE78CA,45,77.70,,加強磚造,62年12月31日,二層,一層 二層
RPVOMLLKKHOFFEE48CA,26,111.02,住家用,鋼筋混凝土造,82年5月13日,十一層,一層
RPVOMLLKKHOFFEE48CA,26,30.48,見使用執照,鋼筋混凝土造,82年5月13日,十一層,
RPVNMLPKKHOFFEE78CA,22,107.66,住家用,鋼筋混凝土造,86年4月21日,二十二層,十四層
RPVNMLPKKHOFFEE78CA,22,47.23,見使用執照,鋼筋混凝土造,86年4月21日,二十二層,
RPSNMLNKKHOFFEE28CA,2,67.16,見其它登記事項,見其它登記事項,105年11月15日,十五層,十二層
RPSNMLNKKHOFFEE28CA,2,49.67,見其它登記事項,見其它登記事項,105年11月15日,十五層,
RPVOMLNKKHOFFEE68CA,13,83.56,住家用,鋼筋混凝土造,94年10月12日,十五層,二層
RPVOMLNKKHOFFEE68CA,13,65.84,住家用,鋼筋混凝土造,94年10月12日,十五層,二層
RPVOMLNKKHOFFEE68CA,13,40.85,見使用執照,鋼筋混凝土造,94年10月12日,十五層,
RPVOMLNKKHOFFEE68CA,13,47.07,見使用執照,鋼筋混凝土造,94年10月12日,十五層,
RPXNMLNKKHOFFEE78CA,21,100.66,住家用,鋼筋混凝土造,86年12月15日,十四層,十四層
RPXNMLNKKHOFFEE78CA,21,41.56,見其它登記事項,鋼筋混凝土造,86年12月15日,十四層,
RPSPMLNLKHOFFEE58CA,21,80.51,住家用,鋼筋混凝土造,86年10月24日,十四層,九層
RPSPMLNLKHOFFEE58CA,21,40.03,見使用執照,鋼筋混凝土造,86年10月24日,十四層,
RPTOMLMLKHOFFEE48CA,26,90.57,住家用,鋼筋混凝土造,82年3月11日,十三層,九層
RPTOMLMLKHOFFEE48CA,26,39.23,見使用執照,鋼筋混凝土造,82年3月11日,十三層,
RPQNMLPLKHOFFEE38CA,19,97.56,住家用,見其它登記事項,89年1月24日,十四層,十三層
RPQNMLPLKHOFFEE38CA,19,51.63,住家用,見使用執照,89年1月24日,十四層,
RPXNMLLLKHOFFEE68CA,7,59.46,住家用,見其它登記事項,100年12月2日,十五層,三層
RPXNMLLLKHOFFEE68CA,7,27.01,見其它登記事項,見其它登記事項,100年12月2日,十五層,
RPSOMLPLKHOFFDE58CA,24,107.65,住家用,鋼筋混凝土造,83年8月29日,二十二層,十一層 電梯樓梯間
RPSOMLPLKHOFFDE58CA,24,21.22,見使用執照,鋼筋混凝土造,83年8月29日,二十二層,
RPVNMLTKKHOFFEE56CA,12,83.73,住家用,鋼筋混凝土造,96年4月2日,十五層,十五層
RPVNMLTKKHOFFEE56CA,12,50.56,共有部分,鋼筋混凝土造,96年4月2日,十五層,
RPVOMLSKKHOFFEE56CA,48,34.43,,加強磚造,60年2月1日,四層,二層
RPUSMLQLKHOFFEE76CA,37,84.25,,鋼筋混凝土造,70年12月24日,五層,四層
RPRNMLNJKHOFFEE08CA,38,180.09,,鋼筋混凝土造,69年7月24日,三層,一層 二層 三層 騎樓 地下層
RPQPMLMLKHOFFDE18CA,30,150.79,,鋼筋混凝土造,78年1月25日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 地下層
RPTNMLMKKHOFFGE48CA,,38.28,見其他登記事項,見其他登記事項,107年11月23日,十三層,五層
RPTNMLMKKHOFFGE48CA,,55.23,見其他登記事項,見其他登記事項,107年11月23日,十三層,
RPVOMLLKKHOFFGE68CA,5,92.40,見其他登記事項,見其他登記事項,103年2月10日,十二層,二層
RPVOMLLKKHOFFGE68CA,5,76.24,見其他登記事項,見其他登記事項,103年2月10日,十二層,
RPQOMLOKKHOFFGE48CA,23,58.74,住家用,鋼筋混凝土造,85年6月28日,十四層,六層
RPQOMLOKKHOFFGE48CA,23,15.28,共有部份,鋼筋混凝土造,85年6月28日,十四層,
RPSNMLMKKHOFFGE38CA,,36.48,見其他登記事項,見其他登記事項,107年11月23日,十三層,七層
RPSNMLMKKHOFFGE38CA,,54.23,見其他登記事項,見其他登記事項,107年11月23日,十三層,
RPROMLPKKHOFFGE68CA,45,67.34,住家用,加強磚造,63年4月6日,二層,一層 二層
RPPNMLQKKHOFFGE48CA,6,69.91,見其他登記事項,鋼筋混凝土造,101年10月31日,十三層,六層
RPPNMLQKKHOFFGE48CA,6,66.70,共有部份,鋼筋混凝土造,101年10月31日,十三層,
RPQNMLKLKHOFFGE08CA,40,73.50,住家用,鋼筋混凝土造,67年10月25日,五層,三層
RPQNMLRKKHOFFGE68CA,4,91.19,見其他登記事項,見其他登記事項,103年8月18日,十五層,八層
RPQNMLRKKHOFFGE68CA,4,65.37,見其他登記事項,見其他登記事項,103年8月18日,十五層,
RPQNMLLKKHOFFHE18CA,35,89.04,住商用,鋼筋混凝土造,73年5月10日,二層,一層 二層
RPOPMLMLKHOFFGE28CA,25,99.06,見使用執照,鋼筋混凝土造,83年6月15日,六層,一層 騎樓
RPOPMLMLKHOFFGE28CA,25,99.45,共有部份,鋼筋混凝土造,83年6月15日,六層,
RPRNMLRKKHOFFGE78CA,6,230.87,見其他登記事項,鋼筋混凝土造,101年10月20日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLRKKHOFFGE78CA,6,.04,共有部份,鋼筋混凝土造,101年10月20日,一層,
RPWOMLNLKHOFFGE09CA,18,.20,見使用執照,鋼筋混凝土造,89年8月10日,十三層,一層
RPWOMLNLKHOFFGE09CA,18,110.45,住家用,鋼筋混凝土造,89年8月10日,十三層,四層
RPWOMLNLKHOFFGE09CA,18,.53,見使用執照,鋼筋混凝土造,89年8月10日,十三層,三層
RPWOMLNLKHOFFGE09CA,18,41.89,共有部份,鋼筋混凝土造,89年8月10日,十三層,
RPWOMLNLKHOFFGE09CA,18,.13,見使用執照,鋼筋混凝土造,89年8月10日,十三層,一層
RPXNMLRLKHOFFGE86CA,24,118.32,住家用,鋼筋混凝土造,83年9月23日,十五層,十四層
RPXNMLRLKHOFFGE86CA,24,11.71,共有部份,鋼筋混凝土造,83年9月23日,十五層,
RPXNMLRLKHOFFGE86CA,24,189.03,住家用,鋼筋混凝土造,83年9月23日,十五層,十四層 十五層
RPXNMLRLKHOFFGE86CA,24,16.82,共有部份,鋼筋混凝土造,83年9月23日,十五層,
RPXNMLMKKHOFFIE09CA,,230.68,見其他登記事項,見其他登記事項,107年8月14日,三層,一層 二層 三層 見其他登記事項
RPROMLLLKHOFFIE58CA,2,171.21,見其他登記事項,鋼筋混凝土造,105年9月10日,二十二層,十五層
RPROMLLLKHOFFIE58CA,2,134.68,見其他登記事項,鋼筋混凝土造,105年9月10日,二十二層,
RPUNMLQLKHOFFIE66CA,21,84.52,住家用,鋼筋混凝土造,86年12月20日,十二層,十一層
RPUNMLQLKHOFFIE66CA,21,40.00,見其他登記事項,鋼筋混凝土造,86年12月20日,,
RPOOMLRLKHOFFIE88CA,10,181.44,見其他登記事項,鋼筋混凝土造,97年11月28日,四層,一層 二層 三層 四層
RPTNMLOKKHOFFJE98CA,17,278.02,見使用執照,鋼筋混凝土造,91年5月13日,三層,一層 二層 三層
RPPNMLPKKHOFFIE58CA,38,293.68,住商用,鋼筋混凝土造,70年5月15日,四層,一層 二層 三層 四層 騎樓
RPQNMLOJLHOFFJE68CA,,118.10,住家用,加強磚造,,二層,一層 二層
RPSNMLMKKHOFFBE97DA,4,184.13,住家用,鋼骨鋼筋混凝土造,103年9月1日,三十三層,十層
RPSNMLMKKHOFFBE97DA,4,114.54,共有部分,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
RPUNMLLLKHOFFLE09CA,37,71.55,住家用,鋼筋混凝土造,70年12月10日,五層,五層
RPQNMLRKKHOFFLE56CA,26,203.56,住商用,鋼筋混凝土造,81年11月20日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPRQMLLJKHOFFGE48DA,39,72.64,住商用,鋼筋混凝土造,69年2月9日,五層,五層
RPXOMLPLKHOFFBE98DA,40,106.74,,鋼筋混凝土造,68年1月18日,五層,三層
RPXOMLPLKHOFFBE98DA,40,8.22,,鋼筋混凝土造,68年1月18日,五層,
RPSOMLLJKHOFFDE08DA,19,47.32,見使用執照,鋼筋混凝土造,88年9月8日,十四層,
RPUNMLTKKHOFFBE88DA,41,40.30,,鋼筋混凝土造,66年6月27日,十二層,十二層
RPUNMLTKKHOFFBE88DA,41,7.83,,鋼筋混凝土造,66年6月27日,十二層,
RPQNMLLKKHOFFLE58CA,26,178.73,住家用,鋼筋混凝土造,82年2月19日,四層,一層 二層 三層 四層
RPQNMLKMJHOFFDE08CD,20,25.38,商業用,鋼骨鋼筋混凝土造,87年9月29日,二十五層,十七層
RPQNMLKMJHOFFDE08CD,20,11.11,見使用執照,鋼骨鋼筋混凝土造,87年9月29日,二十五層,
