編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSOMLTKKHOFFAE58CA,內惟段六小段,73.00,都市：住
RPRNMLSKKHOFFAE28CA,龍華段八小段,12.81,都市：商
RPVOMLQLKHOFFAE68CA,青海段,30.91,都市：住
RPUPMLSKKHOFFAE78CA,興橋段,29.05,都市：商
RPUPMLSKKHOFFAE78CA,興橋段,.50,都市：商
RPPOMLKLKHOFFAE47CA,興仁段,79.00,都市：商
RPPOMLKLKHOFFAE47CA,興仁段,15.00,都市：商
RPXNMLMLKHOFFAE38CA,龍華段八小段,10.86,都市：商
RPOOMLMLKHOFFAE57CA,青海段,21.49,都市：住
RPPNMLLKKHOFFAE37CA,東金段,53.00,都市：商
RPVNMLQLKHOFFAE58CA,龍中段,18.07,都市：住
RPQNMLLKKHOFFBE57CA,新興段二小段,8.74,都市：商
RPQNMLLKKHOFFBE57CA,新興段二小段,1.10,都市：商
RPRNMLLKKHOFFBE67CA,新興段二小段,4.86,都市：商
RPRNMLNKKHOFFCE97CA,店鎮段一小段,34.00,都市：住
RPTOMLPKKHOFFBE38CA,苓洲段,5.54,都市：商
RPUOMLLJKHOFFCE08CA,朝興段,540.69,都市：工
RPTOMLLJKHOFFCE97CA,朝興段,438.93,都市：工
RPRNMLOKKHOFFBE97CA,新興段一小段,29.25,都市：商
RPRNMLOKKHOFFBE97CA,新興段一小段,5.25,都市：其他
RPSNMLNKKHOFFBE97CA,正昌段,31.58,都市：住
RPQNMLOKKHOFFBE87CA,新興段一小段,29.25,都市：商
RPQNMLOKKHOFFBE87CA,新興段一小段,5.25,都市：其他
RPTNMLOKKHOFFBE18CA,林德官段,4.95,都市：商
RPTNMLNKKHOFFCE18CA,宏明段,13.15,都市：住
RPSOMLPKKHOFFBE28CA,過田子段,87.00,都市：商
RPSPMLMLKHOFFCE28CA,草衙段一小段,58.02,都市：商
RPSPMLKLKHOFFCE08CA,桂林段,10.62,都市：商
RPPNMLKLKHOFFCE57CA,愛群段,2.42,都市：商
RPOOMLNKKHOFFCE77CA,竹北段,36.72,都市：住
RPQOMLPKKHOFFDE28CA,德北段,5.08,都市：住
RPSNMLRLKHOFFDE68CA,建民段,114.12,都市：商
RPSNMLRLKHOFFDE68CA,建民段,116.69,都市：商
RPQOMLSKKHOFFDE58CA,三塊厝段一小段,3.09,都市：商
RPXNMLLKKHOFFDE48CA,覆鼎金段覆鼎金小段,9.97,都市：住
RPWNMLPKKHOFFDE78CA,鼎祥段,20.85,都市：住
RPOOMLSKKHOFFDE38CA,覆鼎金段覆鼎金小段,14.83,都市：商
RPXPMLLKKHOFFEE78CA,莒光段三小段,63.00,都市：住
RPVOMLLKKHOFFEE48CA,清楠段,22.30,都市：住
RPVNMLPKKHOFFEE78CA,新民段,11.60,都市：住
RPSNMLNKKHOFFEE28CA,藍田中段,20.01,都市：住
RPVOMLNKKHOFFEE68CA,福山段,10.50,都市：商
RPVOMLNKKHOFFEE68CA,福山段,12.53,都市：商
RPXNMLNKKHOFFEE78CA,福山段,14.15,都市：住
RPSPMLNLKHOFFEE58CA,福民段,11.95,都市：住
RPTOMLMLKHOFFEE48CA,和平段一小段,22.10,都市：住
RPQNMLPLKHOFFEE38CA,果貿段,24.21,都市：住
RPXNMLLLKHOFFEE68CA,菜公段六小段,9.18,都市：住
RPSOMLPLKHOFFDE58CA,灣復段,11.07,都市：商
RPVNMLTKKHOFFEE56CA,興隆段,14.89,都市：住
RPVOMLSKKHOFFEE56CA,莒光段一小段,20.06,都市：商
RPUSMLQLKHOFFEE76CA,右昌段六小段,26.56,都市：住
RPSPMLNLKHOFFFE68CA,內庄段,1915.07,都市：其他
RPVTMLLJKHOFFFE98CA,友情段,141.57,都市：住
RPPNMLLKKHOFFFE87CA,協榮段,16.00,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLLKKHOFFFE87CA,協榮段,4.00,非都市：特定農業區 ; 非都市編定：交通用地
RPRNMLNJKHOFFEE08CA,和平段二小段,72.00,都市：商
RPQPMLMLKHOFFDE18CA,覆鼎金段覆鼎金小段,39.50,都市：商
RPTNMLMKKHOFFGE48CA,明頂段,13.29,都市：住
RPVOMLLKKHOFFGE68CA,頂新段,28.11,都市：住
RPXOMLNLKHOFFFE09CA,內庄段,1696.00,都市：其他
RPRPMLNLKHOFFFE58CA,內庄段,2521.49,都市：其他
RPQOMLOKKHOFFGE48CA,竹子腳段,8.86,都市：住
RPSNMLMKKHOFFGE38CA,明頂段,12.67,都市：住
RPROMLPKKHOFFGE68CA,竹子腳段,54.00,都市：住
RPPNMLQKKHOFFGE48CA,五甲段,18.26,都市：住
RPRNMLMLKHOFFHE48CA,新大林段,2460.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLKHOFFGE08CA,五甲段,25.22,都市：住
RPQNMLRKKHOFFGE68CA,頂新段,17.10,都市：商
RPQNMLLKKHOFFHE18CA,甲仙段,62.25,都市：商
RPPNMLRJKHOFFIE68CA,烏林段,38.20,非都市：鄉村區 ; 非都市編定：農牧用地
RPPNMLRJKHOFFIE68CA,烏林段,38.20,非都市：鄉村區 ; 非都市編定：農牧用地
RPOPMLMLKHOFFGE28CA,新庄子段,29.41,都市：住
RPRNMLNKKHOFFHE48CA,公館段,832.58,都市：住
RPSNMLNKKHOFFHE58CA,公館段,832.58,都市：住
RPRNMLRKKHOFFGE78CA,明頂段,57.30,都市：住
RPRNMLRKKHOFFGE78CA,明頂段,18.97,都市：住
RPRNMLRKKHOFFGE78CA,明頂段,.28,都市：住
RPRNMLRKKHOFFGE78CA,明頂段,.27,都市：住
RPWOMLNLKHOFFGE09CA,新甲段,24.71,都市：住
RPXNMLRLKHOFFGE86CA,赤山段,15.00,都市：住
RPXNMLRLKHOFFGE86CA,赤山段,15.38,都市：住
RPROMLOKKHOFFIE78CA,金鼎段,2953.80,都市：住
RPSOMLOKKHOFFIE88CA,金鼎段,799.99,都市：住
RPXNMLMKKHOFFIE09CA,文武段,104.38,都市：住
RPROMLMKKHOFFIE58CA,大安段,79.00,都市：住
RPROMLLLKHOFFIE58CA,大華段,54.23,都市：住
RPUNMLQLKHOFFIE66CA,北屋段,5.23,都市：住
RPUNMLQLKHOFFIE66CA,北屋段,17.04,都市：住
RPOOMLRLKHOFFIE88CA,金鼎段,97.04,都市：住
RPOOMLRLKHOFFIE88CA,金鼎段,.68,都市：住
RPRNMLTKKHOFFJE66CA,武功段,1.21,都市：其他
RPRNMLTKKHOFFJE66CA,武功段,91.32,都市：住
RPRNMLTKKHOFFJE66CA,武功段,17.34,都市：其他
RPRNMLTKKHOFFJE66CA,武功段,9.31,都市：住
