編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUQMLMKKHOFFAF38CA,24,71.73,共有部份,鋼筋混凝土造,84年1月21日,十九層,
RPUQMLMKKHOFFAF38CA,24,89.69,住家用,鋼筋混凝土造,84年1月21日,十九層,十層
RPUQMLMKKHOFFAF38CA,24,.21,共有部份,鋼筋混凝土造,84年1月21日,十九層,
RPUQMLMKKHOFFAF38CA,24,1.41,見使用執照,鋼筋混凝土造,84年1月21日,十九層,
RPWNMLNKKHOFFAF38CA,8,48.34,住家用,鋼骨鋼筋混凝土造,99年8月31日,二十一層,四層
RPWNMLNKKHOFFAF38CA,8,20.43,見其他登記事項,鋼骨鋼筋混凝土造,99年8月31日,二十一層,
RPQNMLNKKHOFFAF77CA,4,74.51,住家用,鋼筋混凝土造,103年8月8日,二十一層,七層
RPQNMLNKKHOFFAF77CA,4,20.62,見其他登記事項,鋼筋混凝土造,103年8月8日,二十一層,
RPQNMLNKKHOFFAF77CA,4,13.73,見其他登記事項,鋼筋混凝土造,103年8月8日,二十一層,
RPQNMLNKKHOFFAF77CA,4,31.57,見其他登記事項,鋼筋混凝土造,103年8月8日,二十一層,
RPXNMLNKKHOFFAF48CA,6,55.61,住家用,鋼筋混凝土造,102年5月3日,十九層,十三層
RPXNMLNKKHOFFAF48CA,6,22.63,見其他登記事項,鋼筋混凝土造,102年5月3日,十九層,
RPQNMLOKKHOFFAF87CA,22,49.38,見其他登記事項,鋼筋混凝土造,86年3月14日,十八層,
RPRNMLNKKHOFFAF87CA,,84.98,住家用,加強磚造,,四層,三層 陽台
RPQOMLNKKHOFFAF87CA,21,33.43,住家用,鋼筋混凝土造,87年4月16日,十九層,五層
RPQOMLNKKHOFFAF87CA,21,4.91,共有部份,鋼筋混凝土造,87年4月16日,二十五層,
RPQOMLNKKHOFFAF87CA,21,7.71,共有部份,鋼筋混凝土造,87年4月16日,二十五層,
RPQNMLLKKHOFFAF57CA,,62.78,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,五層
RPQNMLLKKHOFFAF57CA,,32.03,見其他登記事項,鋼骨鋼筋混凝土造,107年12月13日,二十層,
RPVNMLMKKHOFFAF18CA,,40.05,住家用,鋼筋混凝土造,,五層,五層
RPOOMLNKKHOFFAF67CA,37,72.00,住家用,鋼筋混凝土造,70年7月28日,五層,四層
RPUPMLPLKHOFFAF68CA,,33.06,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,二層
RPUPMLPLKHOFFAF68CA,,16.65,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPWPMLPLKHOFFAF88CA,,33.06,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,三層
RPWPMLPLKHOFFAF88CA,,16.65,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPWNMLPKKHOFFAF58CA,38,92.31,住家用,鋼筋混凝土造,69年8月6日,五層,一層 平台
RPOTMLPLKHOFFAF48CA,,51.52,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十四層
RPOTMLPLKHOFFAF48CA,,25.95,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPPNMLKLKHOFFAF47CA,44,83.22,住家用,鋼筋混凝土造,64年6月7日,四層,三層
RPRPMLPLKHOFFAF38CA,,45.81,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十六層
RPRPMLPLKHOFFAF38CA,,23.08,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPTNMLQLKHOFFAF48CA,,47.39,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十六層
RPTNMLQLKHOFFAF48CA,,23.87,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPTQMLPLKHOFFAF68CA,,76.49,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,九層
RPTQMLPLKHOFFAF68CA,,38.53,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPPOMLQLKHOFFAF18CA,,38.29,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,六層
RPPOMLQLKHOFFAF18CA,,19.29,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPSOMLQLKHOFFAF48CA,,38.29,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,五層
RPSOMLQLKHOFFAF48CA,,19.29,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPVNMLQLKHOFFAF68CA,,39.64,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,三層
RPVNMLQLKHOFFAF68CA,,19.97,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPURMLPLKHOFFAF88CA,,75.56,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,六層
RPURMLPLKHOFFAF88CA,,38.06,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPRNMLQLKHOFFAF28CA,,47.39,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十三層
RPRNMLQLKHOFFAF28CA,,23.87,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPTTNLQLKHOFFAF56CA,,38.61,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十六層
RPTTNLQLKHOFFAF56CA,,18.59,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPQTNLQLKHOFFAF88CA,,38.61,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十八層
RPQTNLQLKHOFFAF88CA,,18.59,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
RPSTNLQLKHOFFAF09CA,,38.61,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,十七層
RPSTNLQLKHOFFAF09CA,,18.59,見其他登記事項,鋼筋混凝土造,107年12月27日,十九層,
