編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUQMLMKKHOFFAF38CA,中華段,10.36,都市：住
RPWNMLNKKHOFFAF38CA,中山段,8.03,都市：住
RPQNMLNKKHOFFAF77CA,港子嘴段,15.61,都市：住
RPQNMLOKKHOFFAF87CA,介壽段,.47,都市：商
RPXNMLNKKHOFFAF48CA,頂福段,12.35,都市：住
RPXNMLNKKHOFFAF48CA,頂福段,.01,都市：其他
RPXNMLNKKHOFFAF48CA,沛陂段,.00,都市：其他
RPXNMLNKKHOFFAF48CA,沛陂段,.11,都市：住
RPXNMLNKKHOFFAF48CA,沛陂段,.06,都市：住
RPQNMLOKKHOFFAF87CA,介壽段,.00,都市：其他
RPRNMLNKKHOFFAF87CA,文化段,37.50,都市：住
RPQOMLNKKHOFFAF87CA,江子翠段第二崁小段,3.03,都市：商
RPQNMLLKKHOFFAF57CA,光環段,13.52,都市：住
RPVNMLMKKHOFFAF18CA,文化段,12.20,都市：住
RPSNMLLKKHOFFAF77CA,江子翠段第一崁小段,16.20,都市：其他
RPOOMLNKKHOFFAF67CA,永和段,19.01,都市：住
RPUPMLPLKHOFFAF68CA,江翠段,3.67,都市：商
RPWPMLPLKHOFFAF88CA,江翠段,3.67,都市：商
RPWNMLPKKHOFFAF58CA,中山段,26.60,都市：住
RPOTMLPLKHOFFAF48CA,江翠段,5.87,都市：商
RPPNMLKLKHOFFAF47CA,忠孝段,27.25,都市：住
RPRPMLPLKHOFFAF38CA,江翠段,5.14,都市：商
RPTNMLQLKHOFFAF48CA,江翠段,5.51,都市：商
RPTQMLPLKHOFFAF68CA,江翠段,8.81,都市：商
RPPOMLQLKHOFFAF18CA,江翠段,4.41,都市：商
RPSOMLQLKHOFFAF48CA,江翠段,4.41,都市：商
RPVNMLQLKHOFFAF68CA,江翠段,4.41,都市：商
RPURMLPLKHOFFAF88CA,江翠段,8.44,都市：商
RPRNMLQLKHOFFAF28CA,江翠段,5.51,都市：商
RPTTNLQLKHOFFAF56CA,江翠段,4.41,都市：商
RPQTNLQLKHOFFAF88CA,江翠段,4.41,都市：商
RPSTNLQLKHOFFAF09CA,江翠段,4.41,都市：商
RPTPMLQLKHOFFAF68CA,江翠段,4.41,都市：商
RPTUMLQLKHOFFAF56CA,江翠段,5.51,都市：商
RPQUNLQLKHOFFAF98CA,江翠段,4.41,都市：商
RPPSMLRLKHOFFAF68CA,江翠段,4.41,都市：商
RPXTNLQLKHOFFAF96CA,江翠段,4.41,都市：商
RPRUNLQLKHOFFAF09CA,江翠段,4.41,都市：商
