編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUQMLMKKHOFFAF38CA,坡道平面,0,
RPQNMLNKKHOFFAF77CA,坡道平面,0,31.57
RPQNMLOKKHOFFAF87CA,坡道平面,2250000,49.38
RPSPMLMKLHOFFAF18CA,坡道平面,0,23.98
RPSQMLMKLHOFFAF28CA,坡道平面,0,23.98
RPPQMLMKLHOFFAF97CA,坡道平面,0,22.06
RPVQMLMKLHOFFAF58CA,坡道平面,0,23.98
RPRQMLMKLHOFFAF18CA,坡道平面,0,22.06
RPQQMLMKLHOFFAF08CA,坡道平面,0,22.06
RPWQMLMKLHOFFAF68CA,坡道平面,0,23.98
RPXPMLMKLHOFFAF68CA,坡道平面,0,23.98
RPXQMLMKLHOFFAF78CA,坡道平面,0,23.98
RPUQMLMKLHOFFAF48CA,坡道平面,0,23.98
RPTQMLMKLHOFFAF38CA,坡道平面,0,23.98
RPRRMLMKLHOFFAF28CA,坡道平面,0,23.98
RPORMLMKLHOFFAF97CA,坡道平面,0,26.16
RPQSMLMKLHOFFAF28CA,坡道平面,0,23.98
RPPSMLMKLHOFFAF18CA,坡道平面,0,23.98
RPRVMLMKLHOFFAF68CA,坡道平面,0,23.98
RPQRMLMKLHOFFAF18CA,坡道平面,0,23.98
RPWRMLMKLHOFFAF78CA,坡道平面,0,26.16
RPURMLMKLHOFFAF58CA,坡道平面,0,46.04
RPTRMLMKLHOFFAF48CA,坡道平面,0,23.98
RPOSMLMKLHOFFAF08CA,坡道平面,0,22.06
RPOVMLMKLHOFFAF38CA,坡道平面,0,22.06
RPXSNLMKLHOFFAF09CA,坡道平面,0,26.16
RPTTNLMKLHOFFAF78CA,坡道平面,0,22.06
RPOUNLMKLHOFFAF38CA,坡道平面,0,23.98
RPUSNLMKLHOFFAF78CA,坡道平面,0,23.98
RPWSNLMKLHOFFAF98CA,坡道平面,0,23.98
RPOTNLMKLHOFFAF28CA,坡道平面,0,23.98
RPTWMLMKLHOFFAF98CA,坡道平面,0,23.98
RPXTNLMKLHOFFAF56CA,坡道平面,0,23.98
RPSUNLMKLHOFFAF78CA,坡道平面,0,22.06
RPTUNLMKLHOFFAF88CA,坡道平面,0,22.06
RPVUNLMKLHOFFAF09CA,坡道平面,0,23.98
RPWUNLMKLHOFFAF56CA,坡道平面,0,23.98
RPRVNLMKLHOFFAF78CA,坡道平面,0,22.06
RPOVNLMKLHOFFAF48CA,坡道平面,0,22.06
RPQVNLMKLHOFFAF68CA,坡道平面,0,22.06
RPWVNLMKLHOFFAF66CA,坡道平面,0,22.06
RPXVNLMKLHOFFAF76CA,坡道平面,0,22.06
RPTVNLMKLHOFFAF98CA,坡道平面,0,23.98
RPSWNLMKLHOFFAF98CA,坡道平面,0,23.98
RPRWNLMKLHOFFAF88CA,坡道平面,0,23.98
RPWWNLMKLHOFFAF76CA,坡道平面,0,26.16
RPPWNLMKLHOFFAF68CA,坡道平面,0,26.16
RPONOLMKLHOFFAF77CA,坡道平面,0,23.98
RPQWNLMKLHOFFAF78CA,坡道平面,0,22.06
RPXWNLMKLHOFFAF86CA,坡道平面,0,23.98
RPTWNLMKLHOFFAF09CA,坡道平面,0,23.98
RPVVNLMKLHOFFAF56CA,坡道平面,0,22.06
RPOWNLMKLHOFFAF58CA,坡道平面,0,23.98
RPVWNLMKLHOFFAF66CA,坡道平面,0,23.98
RPPNOLMKLHOFFAF87CA,坡道平面,0,28.77
RPPOOLMKLHOFFAF97CA,坡道平面,0,22.06
RPUNOLMKLHOFFAF38CA,坡道平面,0,23.98
RPXNOLMKLHOFFAF68CA,坡道平面,0,23.98
RPOOOLMKLHOFFAF87CA,坡道平面,0,23.98
RPSNOLMKLHOFFAF18CA,坡道平面,0,23.98
RPWNOLMKLHOFFAF58CA,坡道平面,0,26.16
RPRNOLMKLHOFFAF08CA,坡道平面,0,23.98
RPVNOLMKLHOFFAF48CA,坡道平面,0,23.98
RPTNOLMKLHOFFAF28CA,坡道平面,0,22.06
RPQOOLMKLHOFFAF08CA,坡道平面,0,22.06
RPROOLMKLHOFFAF18CA,坡道平面,0,23.98
RPQNOLMKLHOFFAF97CA,坡道平面,0,23.98
RPSOOLMKLHOFFAF28CA,坡道平面,0,23.98
RPUPOLMKLHOFFAF58CA,坡道平面,0,22.06
RPQPOLMKLHOFFAF18CA,坡道平面,0,23.98
RPSPOLMKLHOFFAF38CA,坡道平面,0,23.98
RPPPOLMKLHOFFAF08CA,坡道平面,0,23.98
RPWOOLMKLHOFFAF68CA,坡道平面,0,22.06
RPOPOLMKLHOFFAF97CA,坡道平面,0,23.98
RPUOOLMKLHOFFAF48CA,坡道平面,0,22.06
RPTOOLMKLHOFFAF38CA,坡道平面,0,23.98
RPVOOLMKLHOFFAF58CA,坡道平面,0,23.98
RPPQOLMKLHOFFAF18CA,坡道平面,0,23.98
RPVQOLMKLHOFFAF78CA,坡道平面,0,23.98
RPRQOLMKLHOFFAF38CA,坡道平面,0,23.98
RPTQOLMKLHOFFAF58CA,坡道平面,0,23.98
RPRSOLMKLHOFFAF58CA,坡道平面,0,26.16
RPTROLMKLHOFFAF68CA,坡道平面,0,23.98
RPQSOLMKLHOFFAF48CA,坡道平面,0,22.06
RPWROLMKLHOFFAF98CA,坡道平面,0,22.06
RPPSOLMKLHOFFAF38CA,坡道平面,0,23.98
RPOSOLMKLHOFFAF28CA,坡道平面,0,23.98
RPSSOLMKLHOFFAF68CA,坡道平面,0,23.98
RPUSOLMKLHOFFAF88CA,坡道平面,0,23.98
RPWSOLMKLHOFFAF09CA,坡道平面,0,23.98
RPVSOLMKLHOFFAF98CA,坡道平面,0,23.98
RPOTOLMKLHOFFAF38CA,坡道平面,0,23.98
RPXSOLMKLHOFFAF56CA,坡道平面,0,22.06
RPRTOLMKLHOFFAF68CA,坡道平面,0,22.06
RPPTOLMKLHOFFAF48CA,坡道平面,0,23.98
RPTTOLMKLHOFFAF88CA,坡道平面,0,23.98
RPQTOLMKLHOFFAF58CA,坡道平面,0,23.98
RPUTOLMKLHOFFAF98CA,坡道平面,0,23.98
RPSTOLMKLHOFFAF78CA,坡道平面,0,23.98
