village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
羅東鎮,土地,北成一段601~630地號,181.28,,鄉村區,乙種建築用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,46889,,0.0,0,,RPUOMLLJKHOFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉三英路110巷31~60號,115.81,,特定農業區,甲種建築用地,1071221,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821007,166.21,3,2,2,有,無,3650000,21960,,0.0,0,,RPTNMLMKKHOFFAG08CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮城東路211~240號,84.28,住,,,1080107,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070806,166.78,4,2,4,有,無,6800000,40772,,0.0,0,,RPROMLMKKHOFFAG97CA
羅東鎮,土地,北成一段631~660地號,118.6,,鄉村區,乙種建築用地,1071231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5560000,46880,,0.0,0,含增建或未登記建物。;,RPQNMLRKKHOFFAG28CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路233巷65弄1~30號,90.2,,鄉村區,乙種建築用地,1080102,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0700402,86.32,3,2,2,有,無,4160000,48193,,0.0,0,含增建或未登記建物。;,RPOOMLSKKHOFFAG28CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮信義路91~120號,37.87,住,,,1071101,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841023,130.69,3,2,2,有,無,2200000,16834,,0.0,0,,RPUNMLNLKHOFFAG38CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市陽明二路68巷1~30號,83.59,住,,,1071031,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731120,99.0,3,2,2,有,無,6300000,63636,,0.0,0,一樓空地增建,RPUOMLLKKHOFFBG28CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路151~180號,9.96,住,,,1080114,土地1建物1車位0,,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871102,61.31999999999999,1,1,1,有,有,3800000,61970,,0.0,0,,RPTNMLMKKHOFFBG18CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉十六結路31~60號,102.0,,特定農業區,甲種建築用地,1080113,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691002,140.93,4,2,3,有,無,5300000,37607,,0.0,0,,RPOOMLMKKHOFFBG77CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉柴圍路61~90號,110.54,,特定農業區,甲種建築用地,1071214,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061114,252.91,4,2,5,有,無,15000000,59310,,0.0,0,,RPWNMLNKKHOFFBG58CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉復興街1~30號,19.4,住,,,1071210,土地2建物1車位0,,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690524,61.95,1,1,1,有,無,3800000,61340,,0.0,0,,RPQNMLRLKHOFFBG48CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉過嶺路421~450號,82.94,,鄉村區,乙種建築用地,1080118,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840706,169.0,4,2,3,有,無,2800000,16568,,0.0,0,鄰居購買,RPQNMLPJLHOFFBG18CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮濱海路五段451~480號,48.77,住,,,1071222,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0701024,112.05,0,0,3,無,無,4000000,35698,,0.0,0,,RPQNMLOKKHOFFBG28EA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮濱海路五段451~480號,50.7,住,,,1071222,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0701024,112.05,0,0,3,無,無,4100000,36591,,0.0,0,,RPRNMLOKKHOFFBG38EA
