編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLMKKHOFFBG18CA,20,39.80,住家用,鋼筋混凝土造,87年11月2日,九層,八層
RPOOMLSKKHOFFAG28CA,38,86.32,住家用,見其他登記事項,70年4月2日,二層,一層 二層
RPTNMLMKKHOFFBG18CA,20,14.79,共有部分,鋼筋混凝土造,87年11月2日,九層,
RPTNMLMKKHOFFBG18CA,20,6.72,共有部分,鋼筋混凝土造,87年11月2日,九層,
RPUOMLLKKHOFFBG28CA,34,99.00,住家用,加強磚造,73年11月20日,二層,一層 二層
RPQNMLPJLHOFFBG18CA,24,169.00,住家用,鋼筋混凝土造,84年7月6日,三層,三層 一層 二層
RPQNMLOKKHOFFBG28EA,37,112.05,住家用,鋼筋混凝土加強磚造,70年10月24日,三層,一層 二層 三層
RPRNMLOKKHOFFBG38EA,37,112.05,住家用,鋼筋混凝土加強磚造,70年10月24日,三層,一層 二層 三層
RPOOMLMKKHOFFBG77CA,38,140.93,住家用,鋼筋混凝土加強磚造,69年10月2日,二層,一層 二層
RPQNMLRLKHOFFBG48CA,39,61.95,住家用,鋼筋混凝土造,69年5月24日,四層,三層
RPTNMLMKKHOFFAG08CA,25,166.21,住家用,鋼筋混凝土造,82年10月7日,三層,一層 二層 三層
RPWNMLNKKHOFFBG58CA,1,252.91,見其他登記事項,鋼筋混凝土造,106年11月14日,四層,二層 三層 四層 見其他登記事項
RPROMLMKKHOFFAG97CA,,166.78,住家用,鋼筋混凝土造,107年8月6日,三層,一層 二層 三層
RPUNMLNLKHOFFAG38CA,23,101.08,住家用,鋼筋混凝土造,84年10月23日,五層,五層
RPUNMLNLKHOFFAG38CA,23,20.44,見其他登記事項,鋼筋混凝土造,84年10月23日,五層,
RPUNMLNLKHOFFAG38CA,23,9.17,見其他登記事項,鋼筋混凝土造,84年10月23日,五層,
