編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLLJKHOFFAG08CA,北成一段,181.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLRKKHOFFAG28CA,北成一段,118.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMKKHOFFBG18CA,五峰段,9.96,都市：住
RPOOMLSKKHOFFAG28CA,家福段,90.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLLKKHOFFBG28CA,黎明段,83.59,都市：住
RPQNMLPJLHOFFBG18CA,壯濱三段,82.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOKKHOFFBG28EA,外大溪段,37.36,都市：住
RPQNMLOKKHOFFBG28EA,外大溪段,11.41,都市：其他
RPRNMLOKKHOFFBG38EA,外大溪段,11.74,都市：其他
RPRNMLOKKHOFFBG38EA,外大溪段,38.96,都市：住
RPOOMLMKKHOFFBG77CA,三民段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLRLKHOFFBG48CA,義結段,11.51,都市：住
RPQNMLRLKHOFFBG48CA,義結段,7.90,都市：住
RPTNMLMKKHOFFAG08CA,富農段,90.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLMKKHOFFAG08CA,富農段,25.81,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLNKKHOFFBG58CA,三民一段,93.51,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLNKKHOFFBG58CA,三民一段,17.03,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLMKKHOFFAG97CA,保安段,84.28,都市：住
RPUNMLNLKHOFFAG38CA,思村段,37.87,都市：住
