編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLSKKHOFFGH76CA,25,102.12,商業用,鋼筋混凝土造,83年2月7日,七層,一層 騎樓
RPTNMLSKKHOFFGH76CA,25,69.50,共有部份,鋼筋混凝土造,83年2月7日,七層,
RPSNMLNKKHOFFGH78CA,14,94.91,住家用,鋼筋混凝土造,94年5月5日,十層,八層
RPSNMLNKKHOFFGH78CA,14,15.52,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPSNMLNKKHOFFGH78CA,14,18.26,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPSNMLNKKHOFFGH78CA,14,28.58,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPSNMLNKKHOFFGH78CA,14,.06,見其他登記事項,鋼筋混凝土造,94年5月5日,十層,
RPPOMLRLKHOFFFH98CA,,97.68,見其他登記事項,鋼筋混凝土造,107年7月13日,八層,六層
RPPOMLRLKHOFFFH98CA,,89.11,見其他登記事項,鋼筋混凝土造,107年7月13日,八層,
RPXNMLRLKHOFFFH07CA,,62.25,見其他登記事項,鋼筋混凝土造,107年7月13日,八層,三層
RPXNMLRLKHOFFFH07CA,,67.21,見其他登記事項,鋼筋混凝土造,107年7月13日,八層,
RPSOMLRLKHOFFFH66CA,,64.33,見其他登記事項,鋼筋混凝土造,107年7月13日,八層,二層
RPSOMLRLKHOFFFH66CA,,36.95,見其他登記事項,鋼筋混凝土造,107年7月13日,八層,
RPWOMLRLKHOFFGH17CA,,127.11,住家用,鋼筋混凝土造,107年9月13日,十二層,九層
RPWOMLRLKHOFFGH17CA,,88.10,共有部份,鋼筋混凝土造,107年9月13日,十二層,
RPUNMLMKKHOFFEH68CA,13,26.82,共有部份,鋼筋混凝土造,95年2月18日,十三層,
RPUNMLMKKHOFFEH68CA,13,56.84,住家用,鋼筋混凝土造,95年2月18日,十三層,十二層
RPUNMLMKKHOFFEH68CA,13,56.84,住家用,鋼筋混凝土造,95年2月18日,十三層,十二層
RPUNMLMKKHOFFEH68CA,13,6.26,共有部份,鋼筋混凝土造,95年2月18日,十三層,
RPUNMLMKKHOFFEH68CA,13,26.82,共有部份,鋼筋混凝土造,95年2月18日,十三層,
RPUNMLMKKHOFFEH68CA,13,6.26,共有部份,鋼筋混凝土造,95年2月18日,十三層,
RPPNMLLLKHOFFGH38CA,10,1.25,住家用,鋼筋混凝土造,97年4月23日,二層,
RPPNMLLLKHOFFGH38CA,10,2.55,共有部份,鋼筋混凝土造,97年4月23日,一層,
RPPNMLLLKHOFFGH38CA,10,215.31,見其他登記事項,鋼筋混凝土造,97年4月23日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLLKKHOFFFH38CA,4,25.44,見其他登記事項,鋼筋混凝土造,104年6月9日,二十二層,
RPRNMLLKKHOFFFH38CA,4,137.77,住家用,鋼筋混凝土造,104年6月9日,二十二層,十四層
RPRNMLLKKHOFFFH38CA,4,65.16,見其他登記事項,鋼筋混凝土造,104年6月9日,二十二層,
RPPPMLRLKHOFFGH56CA,,69.84,共有部份,鋼筋混凝土造,107年9月13日,十二層,
RPPPMLRLKHOFFGH56CA,,89.27,住家用,鋼筋混凝土造,107年9月13日,十二層,九層
RPXOMLRLKHOFFGH27CA,,55.84,共有部份,鋼筋混凝土造,107年9月13日,十二層,
RPXOMLRLKHOFFGH27CA,,60.15,住家用,鋼筋混凝土造,107年9月13日,十二層,九層
RPTNMLLKKHOFFFH58CA,3,136.14,住家用,鋼筋混凝土造,104年6月9日,二十一層,十九層
RPTNMLLKKHOFFFH58CA,3,30.61,見其他登記事項,鋼筋混凝土造,104年6月9日,二十一層,
RPTNMLLKKHOFFFH58CA,3,65.13,見其他登記事項,鋼筋混凝土造,104年6月9日,二十二層,
RPOPMLRLKHOFFGH09CA,,68.53,共有部份,鋼筋混凝土造,107年9月13日,十二層,
RPOPMLRLKHOFFGH09CA,,86.84,住家用,鋼筋混凝土造,107年9月13日,十二層,三層
RPWPMLQLKHOFFHH27CA,25,101.79,住家用,鋼筋混凝土造,82年10月1日,七層,六層
RPWPMLQLKHOFFHH27CA,25,3.63,共有部份,鋼筋混凝土造,82年10月1日,七層,
RPWPMLQLKHOFFHH27CA,25,11.55,共有部份,鋼筋混凝土造,82年10月1日,七層,
RPPNMLTJKHOFFHH09CA,25,93.40,住家用,鋼筋混凝土造,83年4月22日,五層,二層
RPPNMLTJKHOFFHH09CA,25,16.55,共有部份,鋼筋混凝土造,83年4月22日,五層,
RPPNMLTJKHOFFHH09CA,25,27.21,共有部份,鋼筋混凝土造,83年4月22日,五層,
RPQNMLKLKHOFFHH48CA,39,95.18,住家用,鋼筋混凝土造,68年12月24日,五層,五層 陽台
RPXOMLMKKHOFFBH88DA,14,.00,見其他登記事項,鋼筋混凝土造,94年5月19日,十一層,一層
RPXOMLMKKHOFFBH88DA,14,12.56,共有部分,鋼筋混凝土造,94年5月19日,十二層,
RPXOMLMKKHOFFBH88DA,14,86.31,住家用,鋼筋混凝土造,94年5月19日,十一層,十一層
RPXOMLMKKHOFFBH88DA,14,11.26,共有部分,鋼筋混凝土造,94年5月19日,十一層,
RPXOMLMKKHOFFBH88DA,14,16.73,共有部分,鋼筋混凝土造,94年5月19日,十二層,
RPSNMLMLKHOFFHH88CA,4,122.77,住家用,鋼筋混凝土造,104年6月18日,九層,三層
RPSNMLMLKHOFFHH88CA,4,61.24,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPSNMLMLKHOFFHH88CA,4,18.73,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPWNMLSKKHOFFGH07CA,,249.76,見其他登記事項,鋼筋混凝土造,107年11月6日,三層,一層 二層 三層 見其他登記事項
RPOOMLMKKHOFFAH87DA,6,92.71,住家用,鋼筋混凝土造,102年6月15日,十三層,三層
RPOOMLMKKHOFFAH87DA,6,23.35,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPOOMLMKKHOFFAH87DA,6,44.39,見其他登記事項,鋼筋混凝土造,102年6月15日,十三層,
RPWOMLMKKHOFFGH66DA,8,81.70,住家用,鋼筋混凝土造,100年1月17日,十五層,七層
RPWOMLMKKHOFFGH66DA,8,73.30,共有部份,鋼筋混凝土造,100年1月17日,十五層,
RPWNMLOKKHOFFGH86EA,17,139.28,住家用,鋼骨鋼筋混凝土造,91年5月9日,十四層,十三層
