編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLSKKHOFFGH76CA,新榮段,24.34,都市：住
RPSNMLNKKHOFFGH78CA,環南段,28.28,都市：住
RPRONLOKKHOFFDH68CA,和平段,4507.58,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPOMLRLKHOFFFH98CA,豐田段,16.55,都市：住
RPPOMLRLKHOFFFH98CA,豐田段,30.84,都市：住
RPXNMLOKKHOFFFH66CA,榮興段,39.84,非都市：特定農業區 ; 非都市編定：水利用地
RPUNMLLLKHOFFGH88CA,東豐段,20.61,都市：其他
RPUNMLLLKHOFFGH88CA,東豐段,14.08,都市：其他
RPUNMLLLKHOFFGH88CA,東豐段,11.49,都市：其他
RPUNMLLLKHOFFGH88CA,東豐段,61.59,都市：其他
RPUNMLLLKHOFFGH88CA,東豐段,41.55,都市：其他
RPUNMLLLKHOFFGH88CA,東豐段,13.06,都市：其他
RPXNMLRLKHOFFFH07CA,豐田段,19.68,都市：住
RPXNMLRLKHOFFFH07CA,豐田段,10.56,都市：住
RPSOMLRLKHOFFFH66CA,豐田段,20.24,都市：住
RPSOMLRLKHOFFFH66CA,豐田段,10.86,都市：住
RPWOMLRLKHOFFGH17CA,廣西段,42.93,都市：住
RPUNMLMKKHOFFEH68CA,河底段,15.21,都市：住
RPUNMLMKKHOFFEH68CA,河底段,15.21,都市：住
RPPNMLLLKHOFFGH38CA,高雙段,80.84,都市：農
RPRNMLLKKHOFFFH38CA,大興段,35.64,都市：住
RPPPMLRLKHOFFGH56CA,廣西段,30.20,都市：住
RPSNMLLLKHOFFGH68CA,東豐段,5.25,都市：其他
RPXOMLRLKHOFFGH27CA,廣西段,20.43,都市：住
RPTNMLLKKHOFFFH58CA,大興段,35.26,都市：住
RPOPMLRLKHOFFGH09CA,廣西段,29.38,都市：住
RPPOMLNKKHOFFHH68CA,自強段,85.00,都市：其他
