編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSNMLNKKHOFFGH78CA,坡道平面,0,28.64
RPPOMLRLKHOFFFH98CA,坡道平面,0,36.83
RPXNMLRLKHOFFFH07CA,坡道平面,0,33.89
RPWOMLRLKHOFFGH17CA,坡道平面,1400000,26.84
RPUNMLMKKHOFFEH68CA,坡道平面,0,
RPRNMLLKKHOFFFH38CA,坡道平面,1300000,37.56
RPPPMLRLKHOFFGH56CA,坡道平面,1350000,26.84
RPXOMLRLKHOFFGH27CA,坡道平面,1400000,26.84
RPTNMLLKKHOFFFH58CA,坡道平面,1300000,37.56
RPOPMLRLKHOFFGH09CA,坡道平面,1450000,26.84
RPPNMLTJKHOFFHH09CA,坡道平面,0,27.21
RPXOMLMKKHOFFBH88DA,坡道機械,700000,
RPSNMLMLKHOFFHH88CA,坡道平面,1500000,28.90
RPOOMLMKKHOFFAH87DA,坡道平面,0,31.24
RPWOMLMKKHOFFGH66DA,坡道平面,0,38.36
RPWNMLOKKHOFFGH86EA,坡道平面,700000,
RPWNMLOKKHOFFGH86EA,坡道平面,1000000,
RPSNMLTKKHOFFBH98DA,坡道平面,760000,31.10
RPSNMLTKKHOFFBH98DA,坡道平面,820000,31.10
RPSNMLOKKHOFFAH28CA,坡道平面,1000000,27.25
RPSNMLPKKHOFFAH38CA,坡道平面,1700000,31.13
RPRNMLOKKHOFFAH18CA,坡道平面,920000,27.25
RPQOMLSKKHOFFAH58CA,坡道平面,1500000,33.32
RPQOMLSKKHOFFAH58CA,坡道平面,1500000,33.32
RPQOMLSKKHOFFAH58CA,坡道平面,1500000,33.32
RPROMLMLKHOFFAH18CA,坡道平面,1500000,
RPROMLMLKHOFFAH18CA,坡道平面,1500000,
RPWPMLPLKHOFFAH09CA,坡道平面,0,
RPQOMLRLKHOFFAH58CA,坡道平面,1800000,31.13
RPOOMLPLKHOFFAH18CA,坡道平面,1400000,38.65
RPRQMLLKKHOFFBH28CA,坡道平面,0,
RPVNMLPKKHOFFBH78CA,坡道平面,0,
RPQNMLTKKHOFFBH68CA,坡道平面,0,
RPTNMLMKKHOFFDH48CA,坡道平面,0,
