village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
嘉義市,建物,嘉義市嘉義市姜安街1~30號,0.0,,,,1080111,土地0建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1020524,263.4,4,1,4,有,無,6000000,22779,,0.0,0,,RPUPMLLJKHOFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市美源街151~180號,11.3,住,,,1080103,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0791107,61.85,1,1,1,有,有,1800000,29103,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQQMLLJKHOFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市南京路15巷1~30號,20.35,住,,,1080106,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830914,135.42000000000002,3,2,2,有,有,4200000,31015,,0.0,0,,RPRNMLLKKHOFFAI97CA
嘉義市,土地,湖子內段新民小段151~180地號,210.92,住,,,1071218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8485400,40230,,0.0,0,,RPSNMLLKKHOFFAI08CA
嘉義市,土地,北門段三小段31~60地號,106.0,商,,,1080128,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4168450,39325,,0.0,0,,RPUNMLMKKHOFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市共和路391~420號,126.0,住,,,1080104,土地1建物1車位0,全,二層,透天厝,住商用,木造,0380630,116.83,2,1,2,有,無,8500000,72755,,0.0,0,,RPQNMLNKKHOFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市興達路541~570號,13.69,住,,,1080109,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830406,119.2,3,2,2,有,有,3550000,29782,,0.0,0,,RPOOMLKLKHOFFAI77CA
嘉義市,土地,下路頭段571~600地號,2.0,住,,,1080117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,63950,31975,,0.0,0,親友、員工或其他特殊關係間之交易。;畸零地或有合併使用之交易。;瑕疵物件之交易。;,RPWNMLNLKHOFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路272巷1~30號,192.71,住,,,1071231,土地3建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1050817,524.98,5,2,7,有,有,29000000,55240,,0.0,0,,RPOOMLNLKHOFFAI08CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市吳鳳南路571~600號,8.34,住,,,1071225,土地1建物1車位1,一層，夾層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850205,69.02,2,2,2,有,有,3180000,46074,坡道機械,0.0,0,,RPXNMLPLKHOFFAI09CA
嘉義市,土地,港子坪段211~240地號,54.0,住,,,1071030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,18519,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLOKKHOFFAI88EA
