編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLKLKHOFFAI77CA,25,45.98,住家用,鋼筋混凝土造,83年4月6日,十二層,七層
RPOOMLKLKHOFFAI77CA,25,45.98,住家用,鋼筋混凝土造,83年4月6日,十二層,七層
RPOOMLKLKHOFFAI77CA,25,16.22,共有部份,鋼筋混凝土造,83年4月6日,十二層,
RPOOMLKLKHOFFAI77CA,25,11.01,共有部份,鋼筋混凝土造,83年4月6日,十二層,
RPXNMLPLKHOFFAI09CA,23,57.37,住家用,鋼筋混凝土造,85年2月5日,十五層,一層 夾層
RPXNMLPLKHOFFAI09CA,23,.06,共有部份,鋼筋混凝土造,85年2月5日,十五層,
RPXNMLPLKHOFFAI09CA,23,5.63,見其他登記事項,鋼筋混凝土造,85年2月5日,十五層,
RPXNMLPLKHOFFAI09CA,23,5.96,見其他登記事項,鋼筋混凝土造,85年2月5日,十五層,
RPRNMLLKKHOFFAI97CA,24,102.47,住家用,鋼筋混凝土造,83年9月14日,十二層,五層
RPRNMLLKKHOFFAI97CA,24,32.95,共有部份,鋼筋混凝土造,83年9月14日,十二層,
RPQNMLNKKHOFFAI08CA,70,116.83,住商用,木造,38年6月30日,二層,一層 二層 騎樓
RPQQMLLJKHOFFAI08CA,28,48.96,住家用,鋼筋混凝土造,79年11月7日,七層,四層
RPQQMLLJKHOFFAI08CA,28,12.89,共有部份,鋼筋混凝土造,79年11月7日,七層,
RPOOMLNLKHOFFAI08CA,2,479.06,見其他登記事項,見其他登記事項,105年8月17日,五層,一層 二層 三層 四層 地下一層 見其他登記事項
RPOOMLNLKHOFFAI08CA,2,7.85,見其他登記事項,見其他登記事項,105年8月17日,五層,
RPOOMLNLKHOFFAI08CA,2,38.07,見其他登記事項,見其他登記事項,105年8月17日,五層,
RPUPMLLJKHOFFAI38CA,6,263.40,住家用,見其他登記事項,102年5月24日,四層,一層 二層 三層 四層
