編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLMKKHOFFAI38CA,北門段三小段,3.00,都市：商
RPUNMLMKKHOFFAI38CA,北門段三小段,92.00,都市：商
RPUNMLMKKHOFFAI38CA,北門段三小段,11.00,都市：商
RPOOMLKLKHOFFAI77CA,竹圍子段二小段,6.84,都市：住
RPOOMLKLKHOFFAI77CA,竹圍子段二小段,6.84,都市：住
RPXNMLPLKHOFFAI09CA,軍輝段,8.34,都市：住
RPRNMLLKKHOFFAI97CA,湖內段,20.35,都市：住
RPWNMLNLKHOFFAI78CA,下路頭段,2.00,都市：住
RPSNMLLKKHOFFAI08CA,湖子內段新民小段,210.92,都市：住
RPQNMLNKKHOFFAI08CA,檜段一小段,126.00,都市：住
RPQQMLLJKHOFFAI08CA,下路頭段,11.30,都市：住
RPVNMLOKKHOFFAI88EA,港子坪段,54.00,都市：住
RPOOMLNLKHOFFAI08CA,彌陀段,149.00,都市：住
RPOOMLNLKHOFFAI08CA,彌陀段,36.96,都市：住
RPOOMLNLKHOFFAI08CA,彌陀段,6.74,都市：住
