village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬五街31~60號,14.02,商,,,1071227,土地1建物2車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940923,155.39000000000001,3,2,2,有,有,8900000,57275,坡道平面,0.0,0,,RPROMLLKKHOFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興三街1~30號,22.52,住,,,1071227,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060615,134.62,2,2,1,有,有,7380000,54821,坡道平面,0.0,0,,RPROMLMKKHOFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口三街181~210號,20.9,商,,,1071229,土地1建物1車位2,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991214,182.14999999999998,3,2,2,有,有,9800000,63637,坡道平面,59.58,2000000,,RPPNMLRKKHOFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興東路一段370巷1~30號,40.61,住,,,1071223,土地3建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010706,199.49,3,2,2,有,有,11200000,56143,坡道平面,0.0,0,,RPROMLTKKHOFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路301~330號,12.3,商,,,1061102,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070920,138.24,2,2,1,有,有,7320000,55545,坡道平面,28.96,1250000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVOMLTKKHOFFBJ86CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路301~330號,11.0,商,,,1061120,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070920,126.46000000000001,2,2,1,有,有,6720000,55590,坡道平面,28.96,1300000,,RPOPMLTKKHOFFBJ88CA
竹北市,房地(土地+建物),新竹縣竹北市十興路301~330號,12.26,商,,,1071212,土地1建物1車位0,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070920,109.29,2,2,1,有,有,7410000,67801,,0.0,0,,RPPPMLTKKHOFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明十八街1~30號,27.57,住,,,1071209,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010318,170.51,3,2,2,有,有,10800000,63339,坡道平面,0.0,0,,RPRQMLKLKHOFFBJ48CA
竹北市,房地(土地+建物),新竹縣竹北市文昌街61~90號,19.48,住,,,1071208,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,102.99000000000001,3,2,2,有,無,4700000,45635,,0.0,0,,RPPNMLMLKHOFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利八街一段211~240號,9.38,商,,,1071002,土地1建物1車位1,十八層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,124.76,2,1,1,有,有,8200000,65726,坡道平面,29.81,0,,RPPNMLNLKHOFFBJ28CA
竹北市,土地,東華段901~930地號,443.15,工,,,1071216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27480000,62011,,0.0,0,,RPTNMLRLKHOFFBJ09CA
芎林鄉,房地(土地+建物),新竹縣芎林鄉文山路131巷1~30號,11.34,住,,,1071130,土地4建物1車位0,二層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940505,37.79,1,1,1,有,無,1035000,27388,,0.0,0,,RPTNMLLKKHOFFCJ48CA
寶山鄉,土地,寶斗仁段崎林小段211~240地號,989.0,,山坡地保育區,農牧用地,1080114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2022,,0.0,0,,RPUNMLLKKHOFFCJ58CA
北埔鄉,土地,庄口段511~540地號,444.92,,山坡地保育區,林業用地,1071226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,562,,0.0,0,,RPXNMLLKKHOFFCJ88CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮中豐路二段181~210號,81.0,住,,,1080113,土地3建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0801224,247.14,5,2,5,有,無,12500000,50579,,0.0,0,,RPXNMLMKKHOFFCJ98CA
寶山鄉,房地(土地+建物),新竹縣寶山鄉明湖二街128巷1~30號,138.47,,山坡地保育區,丙種建築用地,1071225,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0930630,150.72,7,3,4,有,無,11000000,72983,,0.0,0,,RPVNMLNKKHOFFCJ88CA
芎林鄉,房地(土地+建物),新竹縣芎林鄉嘉慶121~150號,104.07,,山坡地保育區,丙種建築用地,1080110,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,85.12,3,2,2,有,無,2000000,23496,,0.0,0,,RPRNMLOKKHOFFCJ58CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮科學路31~60號,64.46,住,,,1071224,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071003,221.34,4,2,4,有,無,13500000,60992,,0.0,0,,RPSNMLPKKHOFFCJ78CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮林森路31~60號,88.0,住,,,1080114,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,168.08,5,1,3,有,無,13000000,77344,,0.0,0,,RPXNMLPKKHOFFCJ66CA
寶山鄉,房地(土地+建物),新竹縣寶山鄉嵩翠路61~90號,297.0,,山坡地保育區,丙種建築用地,1071220,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920801,319.37,6,2,3,有,有,19500000,61058,,0.0,0,,RPSOMLPKKHOFFCJ88CA
寶山鄉,土地,雞油凸段三叉凸小段121~150地號,625.0,,山坡地保育區,農牧用地,1080120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,5120,,0.0,0,含小木屋,RPTNMLTKKHOFFCJ66CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮東峰路20巷8弄1~30號,65.0,住,,,1080114,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0890802,221.91,4,2,3,有,無,2200000,9914,,0.0,0,"親友、員工或其他特殊關係間之交易。;母子間的買賣案件,增值稅自用住宅",RPPNMLLLKHOFFCJ18CA
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉民善路128巷31~60號,56.99,,特定農業區,甲種建築用地,1071223,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0820527,149.21,4,2,3,有,無,4680000,31365,坡道平面,0.0,0,,RPXNMLMKKHOFFDJ09CA
湖口鄉,土地,竹九段1051~1080地號,702.54,,一般農業區,農牧用地,1080110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,8540,,0.0,0,,RPQNMLNKKHOFFDJ48CA
湖口鄉,土地,竹九段1531~1560地號,520.0,,一般農業區,甲種建築用地,1080111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26426400,50820,,0.0,0,,RPVNMLNKKHOFFDJ98CA
新豐鄉,房地(土地+建物),新竹縣新豐鄉青埔子151~180號,103.07,,特定農業區,甲種建築用地,1071218,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041214,200.06,4,2,4,有,無,7300000,36489,,0.0,0,,RPWNMLNKKHOFFDJ09CA
湖口鄉,土地,勝利段181~210地號,22.6,,鄉村區,乙種建築用地,1071219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,132743,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPRNMLSKKHOFFDJ09CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉新興路564巷61~90號,24.6,,鄉村區,乙種建築用地,1071222,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1040714,88.11,2,2,2,有,有,4500000,51073,,0.0,0,,RPWNMLSKKHOFFDJ96CA
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉康樂路一段510巷1~30號,26.0,,鄉村區,乙種建築用地,1080111,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060523,108.85,3,2,2,有,無,5850000,53744,坡道平面,5.68,0,,RPRNMLMLKHOFFDJ58CA
新豐鄉,土地,上坑段1~30地號,1852.35,,山坡地保育區,丙種建築用地,1071018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33930000,18317,,0.0,0,"1.買賣標的含未辦保存登記建物1棟土地總價:33309100元整,建物總價:620900元整2.本買賣標的為無面臨道路之土地",RPQNMLPLKHOFFDJ78CA
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉保康街31~60號,13.54,住,,,1080113,土地1建物1車位2,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990521,108.64,2,2,1,有,有,6450000,59370,坡道平面,25.94,0,,RPSNMLQLKHOFFDJ09CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路三段121~150號,152.52,,特定農業區,農牧用地,1071212,土地2建物1車位0,全,二層,透天厝,農舍,加強磚造,0700518,226.24,2,1,2,有,無,7500000,33151,,0.0,0,,RPTNMLMKKHOFFDJ78DA
