編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLTKKHOFFBJ88CA,1,66.26,住家用,鋼筋混凝土造,107年9月20日,二十二層,十六層
RPOPMLTKKHOFFBJ88CA,1,60.20,見其他登記事項,鋼筋混凝土造,107年9月20日,二十二層,
RPRQMLKLKHOFFBJ48CA,7,104.51,住家用,鋼筋混凝土造,101年3月18日,十四層,十三層
RPRQMLKLKHOFFBJ48CA,7,19.48,見其他登記事項,鋼筋混凝土造,101年3月18日,十四層,
RPRQMLKLKHOFFBJ48CA,7,19.13,見其他登記事項,鋼筋混凝土造,101年3月18日,十四層,
RPRQMLKLKHOFFBJ48CA,7,.05,見其他登記事項,鋼筋混凝土造,101年3月18日,十四層,一層
RPRQMLKLKHOFFBJ48CA,7,27.34,見其他登記事項,鋼筋混凝土造,101年3月18日,十四層,
RPROMLLKKHOFFBJ28CA,13,19.15,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPROMLLKKHOFFBJ28CA,13,98.48,住家用,鋼筋混凝土造,94年9月23日,十五層,十層
RPROMLLKKHOFFBJ28CA,13,.03,見其他登記事項,鋼筋混凝土造,94年9月23日,十五層,一層
RPROMLLKKHOFFBJ28CA,13,13.01,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPROMLLKKHOFFBJ28CA,13,24.71,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPROMLTKKHOFFBJ09CA,6,109.84,住家用,鋼筋混凝土造,101年7月6日,十三層,五層
RPROMLTKKHOFFBJ09CA,6,20.33,見其他登記事項,鋼筋混凝土造,101年7月6日,十三層,
RPROMLTKKHOFFBJ09CA,6,69.31,見其他登記事項,鋼筋混凝土造,101年7月6日,十三層,
RPVOMLTKKHOFFBJ86CA,1,74.29,住家用,鋼筋混凝土造,107年9月20日,二十二層,十一層
RPVOMLTKKHOFFBJ86CA,1,63.95,見其他登記事項,鋼筋混凝土造,107年9月20日,二十二層,
RPPPMLTKKHOFFBJ98CA,,74.29,住家用,鋼筋混凝土造,107年9月20日,二十二層,十二層
RPPPMLTKKHOFFBJ98CA,,35.00,見其他登記事項,鋼筋混凝土造,107年9月20日,二十二層,
RPPNMLNLKHOFFBJ28CA,2,64.37,住家用,鋼筋混凝土造,105年6月8日,二十七層,十八層
RPPNMLNLKHOFFBJ28CA,2,20.06,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPPNMLNLKHOFFBJ28CA,2,40.33,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPPNMLMLKHOFFBJ18CA,25,85.28,住家用,鋼筋混凝土造,82年11月19日,七層,七層
RPPNMLMLKHOFFBJ18CA,25,17.71,共用部分,鋼筋混凝土造,82年11月19日,七層,
RPROMLMKKHOFFBJ38CA,2,67.66,住家用,鋼筋混凝土造,106年6月15日,十四層,十三層
RPROMLMKKHOFFBJ38CA,2,53.01,見其他登記事項,鋼筋混凝土造,106年6月15日,十四層,
RPROMLMKKHOFFBJ38CA,2,13.96,見其他登記事項,鋼筋混凝土造,106年6月15日,十四層,
RPVNMLNKKHOFFCJ88CA,14,150.72,住家用,鋼筋混凝土造,93年6月30日,四層,一層 二層 三層 四層
RPRNMLOKKHOFFCJ58CA,,85.12,住家用,加強磚造,,二層,一層 二層
RPPNMLRKKHOFFBJ58CA,8,90.41,住家用,鋼筋混凝土造,99年12月14日,十三層,七層
RPPNMLRKKHOFFBJ58CA,8,77.63,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPPNMLRKKHOFFBJ58CA,8,14.11,見其他登記事項,鋼筋混凝土造,99年12月14日,十三層,
RPXNMLPKKHOFFCJ66CA,,168.08,住家用,加強磚造,,二層,一層 二層 騎樓
