編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOPMLTKKHOFFBJ88CA,水瀧段,11.00,都市：商
RPRQMLKLKHOFFBJ48CA,台科段,27.57,都市：住
RPROMLLKKHOFFBJ28CA,大學段,14.02,都市：商
RPROMLTKKHOFFBJ09CA,嘉興段,27.26,都市：住
RPROMLTKKHOFFBJ09CA,嘉興段,5.18,都市：住
RPROMLTKKHOFFBJ09CA,公園段,8.16,都市：住
RPVOMLTKKHOFFBJ86CA,水瀧段,12.30,都市：商
RPPPMLTKKHOFFBJ98CA,水瀧段,12.26,都市：商
RPPNMLNLKHOFFBJ28CA,莊敬段,9.38,都市：商
RPPNMLMLKHOFFBJ18CA,華興段,19.48,都市：住
RPTNMLRLKHOFFBJ09CA,東華段,443.15,都市：工
RPROMLMKKHOFFBJ38CA,莊敬段,22.52,都市：住
RPVNMLNKKHOFFCJ88CA,明湖段,2.34,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKKHOFFCJ88CA,明湖段,.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKKHOFFCJ88CA,明湖段,10.19,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLNKKHOFFCJ88CA,明湖段,125.52,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOKKHOFFCJ58CA,水坑壹段,64.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOKKHOFFCJ58CA,水坑壹段,39.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRKKHOFFBJ58CA,隘興段,20.90,都市：商
RPUNMLLKKHOFFCJ58CA,寶斗仁段崎林小段,989.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLLKKHOFFCJ88CA,庄口段,444.92,非都市：山坡地保育區 ; 非都市編定：林業用地
RPXNMLPKKHOFFCJ66CA,仁愛段,88.00,都市：住
RPTNMLLKKHOFFCJ48CA,文昌段,11.28,都市：住
RPTNMLLKKHOFFCJ48CA,文昌段,.03,都市：住
RPTNMLLKKHOFFCJ48CA,文昌段,.02,都市：住
RPTNMLLKKHOFFCJ48CA,文昌段,.00,都市：住
RPXNMLMKKHOFFCJ98CA,東寧段,40.00,都市：住
RPXNMLMKKHOFFCJ98CA,東寧段,18.00,都市：住
RPXNMLMKKHOFFCJ98CA,東寧段,23.00,都市：住
RPTNMLTKKHOFFCJ66CA,雞油凸段三叉凸小段,625.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLPKKHOFFCJ88CA,雞油凸段三叉凸小段,297.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLSKKHOFFDJ09CA,勝利段,22.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLPKKHOFFCJ78CA,旭光段,64.46,都市：住
RPQNMLPLKHOFFDJ78CA,上坑段,1852.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLLLKHOFFCJ18CA,資源段,7.00,都市：住
RPPNMLLLKHOFFCJ18CA,資源段,58.00,都市：住
RPVNMLNKKHOFFDJ98CA,竹九段,520.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLNKKHOFFDJ48CA,竹九段,702.54,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLMKKHOFFDJ09CA,德興段,56.99,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLQLKHOFFDJ09CA,泰豐段,13.54,都市：住
RPRNMLMLKHOFFDJ58CA,福陽段,25.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMLKHOFFDJ58CA,福陽段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKKHOFFDJ96CA,汶山段,12.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKKHOFFDJ96CA,汶山段,12.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMKKHOFFDJ78DA,長威段,63.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLMKKHOFFDJ78DA,長威段,89.52,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNKKHOFFDJ09CA,崁頭段,30.07,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLNKKHOFFDJ09CA,崁頭段,73.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
