編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLJLHOFFBK38CA,,108.09,住家用,鋼筋混凝土造,107年12月7日,十一層,七層
RPSNMLLJLHOFFBK38CA,,88.06,見其他登記事項,鋼筋混凝土造,107年12月7日,十一層,
RPPNMLOKKHOFFBK38CA,,141.83,住家用,加強磚造,,,一層 二層 三層
RPSNMLOKKHOFFBK68CA,39,181.08,住家用,鋼筋混凝土造,68年9月12日,三層,一層 二層 三層
RPSNMLMKKHOFFBK48CA,25,84.71,住家用,鋼筋混凝土造,82年12月2日,,六層
RPSNMLMKKHOFFBK48CA,25,13.79,見其他登記事項,鋼筋混凝土造,82年12月2日,,
RPSNMLMKKHOFFBK48CA,25,21.54,見其他登記事項,鋼筋混凝土造,82年12月2日,,
RPRNMLLJLHOFFBK28CA,,107.71,住家用,鋼筋混凝土造,107年12月7日,十一層,七層
RPRNMLLJLHOFFBK28CA,,88.51,見其他登記事項,鋼筋混凝土造,107年12月7日,十一層,
RPVNMLMKKHOFFBK78CA,37,96.59,住家用,鋼筋混凝土造,70年8月8日,四層,三層
RPVNMLMKKHOFFBK78CA,37,5.90,見其他登記事項,鋼筋混凝土造,70年8月8日,,
RPUNMLLKLHOFFBK68CA,,43.24,住家用,鋼筋混凝土造,107年12月7日,十一層,四層
RPUNMLLKLHOFFBK68CA,,58.85,見其他登記事項,鋼筋混凝土造,107年12月7日,十一層,
RPPNMLMKKHOFFAK08CA,11,65.36,見其他登記事項,見其他登記事項,96年7月23日,一層,一層
RPPNMLOKKHOFFDK58CA,36,134.00,住家用,鋼筋混凝土加強磚造,71年7月24日,二層,一層 二層 騎樓
RPSNMLLJKHOFFFK68CA,25,56.52,住家用,鋼筋混凝土造,83年1月13日,五層,二層
RPSNMLLJKHOFFFK68CA,25,4.85,見其他登記事項,鋼筋混凝土造,83年1月13日,五層,
RPSNMLLJKHOFFFK68CA,25,64.87,住家用,鋼筋混凝土造,83年1月13日,五層,二層
RPSNMLLJKHOFFFK68CA,25,4.85,見其他登記事項,鋼筋混凝土造,83年1月13日,五層,
