編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLKLKHOFFBK88CA,苗栗段,209.00,都市：住
RPOOMLLJKHOFFBK97CA,苗栗段,229.00,都市：住
RPSNMLLJLHOFFBK38CA,巨蛋段,36.55,都市：住
RPPNMLOKKHOFFBK38CA,福麗段,97.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOKKHOFFBK68CA,芒埔段,154.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMKKHOFFBK48CA,建功段,23.70,都市：住
RPSNMLMKKHOFFBK48CA,建功段,1.01,都市：住
RPRNMLLJLHOFFBK28CA,巨蛋段,36.71,都市：住
RPVNMLMKKHOFFBK78CA,苗栗段,35.00,都市：住
RPPNMLLJKHOFFCK08CA,通北段,898.54,都市：農
RPTNMLNKKHOFFDK88CA,龍北段,139.97,都市：住
RPTNMLNKKHOFFDK88CA,龍北段,182.40,都市：住
RPWNMLKLKHOFFDK98CA,仁德段,38.52,都市：住
RPUNMLLKLHOFFBK68CA,巨蛋段,14.30,都市：住
RPQNMLLJKHOFFAK97CA,高熊段,280.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLLJKHOFFAK97CA,高熊段,350.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLLJKHOFFAK97CA,高熊段,3760.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMKKHOFFAK08CA,大湖段,1821.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOKKHOFFDK58CA,崎頂段,144.00,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,45.87,非都市：山坡地保育區 ; 非都市編定：水利用地
RPRNMLOJLHOFFFK09DA,大坪林段,4.18,非都市：山坡地保育區 ; 非都市編定：水利用地
RPRNMLOJLHOFFFK09DA,大坪林段,676.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,727.39,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,138.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,971.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,127.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,540.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,219.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,539.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,10.60,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,.49,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,2.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,52.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,5.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,1.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLOJLHOFFFK09DA,大坪林段,41.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,15.95,非都市：山坡地保育區 ; 非都市編定：水利用地
RPRNMLOJLHOFFFK09DA,大坪林段,70.63,非都市：山坡地保育區 ; 非都市編定：水利用地
RPRNMLOJLHOFFFK09DA,大坪林段,277.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,260.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOJLHOFFFK09DA,大坪林段,568.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLLJKHOFFFK68CA,華夏段,1.08,都市：住
RPSNMLLJKHOFFFK68CA,華夏段,15.29,都市：住
RPPNMLOJLHOFFFK78CA,大河底段,310.53,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJLHOFFFK66CA,大河底段,664.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLOJLHOFFFK86CA,園段,104.14,都市：其他
RPWNMLOJLHOFFFK86CA,園段,100.94,都市：住
RPQNMLOJLHOFFFK88CA,大河底段,402.39,非都市：山坡地保育區 ; 非都市編定：農牧用地
