編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLMLKHOFFAM58CA,23,90.57,住家用,鋼筋混凝土造,85年2月7日,八層,一層
RPQOMLMLKHOFFAM58CA,23,7.48,住家用,鋼筋混凝土造,85年2月7日,八層,
RPQOMLMLKHOFFAM58CA,23,25.89,住家用,鋼筋混凝土造,85年2月7日,八層,
RPSNMLMKKHOFFAM58CA,,104.60,住家用,鋼筋混凝土造,107年11月7日,四層,一層 二層 三層 四層
RPSNMLMKKHOFFAM58CA,,104.60,住家用,鋼筋混凝土造,107年11月7日,四層,一層 二層 三層 四層
RPVNMLMKKHOFFAM88CA,,223.66,住家用,鋼筋混凝土造,107年11月7日,四層,一層 二層 三層 四層
RPTNMLMKKHOFFAM68CA,,213.70,住家用,鋼筋混凝土造,107年11月7日,四層,一層 二層 三層 四層
RPUNMLMKKHOFFAM78CA,,213.70,住家用,鋼筋混凝土造,107年11月7日,四層,一層 二層 三層 四層
RPQNMLPLKHOFFCM98CA,1,144.91,住家用,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層
RPRNMLLJKHOFFDM58CA,18,96.94,住家用,鋼筋混凝土造,89年8月4日,五層,一層
RPPNMLLKKHOFFDM48CA,,146.70,住家用,鋼筋混凝土造,107年7月5日,三層,一層 二層 三層
RPQNMLOLKHOFFDM98CA,,189.20,見其他登記事項,鋼筋混凝土造,107年11月13日,三層,一層 二層 三層 見其他登記事項
RPVNMLLKKHOFFAM78CA,,228.39,見其他登記事項,鋼筋混凝土造,107年7月9日,三層,一層 二層 三層 屋頂突出物
RPPNMLLJKHOFFBM28DA,25,25.10,住家用,鋼筋混凝土造,83年7月21日,十三層,五層
RPPNMLLJKHOFFBM28DA,25,14.39,見其他登記事項,鋼筋混凝土造,83年7月21日,十三層,
RPSNMLNKKHOFFBM88DA,49,80.16,住家用,鋼筋混凝土加強磚造,59年5月8日,二層,一層 二層
RPVNMLPLKHOFFBM76CA,30,117.09,農舍,鋼造,77年6月22日,一層,一層
RPPNMLLKKHOFFAM28DA,13,174.03,住家用,鋼筋混凝土造,95年7月7日,四層,一層 二層 三層 四層
