編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLMLKHOFFAM38CA,東施厝坪段,2.06,都市：農
RPOOMLMLKHOFFAM38CA,東施厝坪段,1.72,都市：農
RPOOMLMLKHOFFAM38CA,東施厝坪段,194.56,都市：住
RPOOMLMLKHOFFAM38CA,東施厝坪段,8.67,都市：其他
RPTNMLMKKHOFFBM78CA,加老段,89.10,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLMKKHOFFBM78CA,加老段,1.01,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLMLKHOFFAM58CA,牛運堀段,20.69,都市：住
RPQNMLMKKHOFFBM48CA,中原段,1373.51,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKKHOFFBM48CA,中原段,1373.51,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLOKKHOFFBM98CA,草屯段,5.00,都市：商
RPWNMLOKKHOFFBM66CA,草屯段,5.00,都市：商
RPUNMLOKKHOFFBM09CA,草屯段,4.00,都市：商
RPSNMLMKKHOFFAM58CA,田寮段,50.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMKKHOFFAM58CA,田寮段,50.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMKKHOFFAM58CA,田寮段,4.31,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLMKKHOFFAM58CA,田寮段,4.31,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLOKKHOFFBM88CA,草屯段,9.00,都市：商
RPPOMLOKKHOFFBM68CA,草屯段,5.00,都市：商
RPVNMLMKKHOFFAM88CA,田寮段,136.86,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLOKKHOFFBM78CA,草屯段,7.00,都市：商
RPXNMLLLKHOFFAM09CA,二重溪段,896.00,非都市：山坡地保育區 ; 非都市編定：國土保安用地
RPXNMLLLKHOFFAM09CA,二重溪段,1151.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLLLKHOFFAM09CA,二重溪段,650.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLMKKHOFFAM68CA,田寮段,108.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMKKHOFFAM68CA,田寮段,1.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLOKKHOFFBM56CA,草屯段,6.00,都市：商
RPUNMLMKKHOFFAM78CA,田寮段,114.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLLKKHOFFDM68CA,桂北段,103.59,都市：住
RPQNMLPLKHOFFCM98CA,慈恩段,100.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPLKHOFFCM98CA,慈恩段,19.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPLKHOFFCM98CA,慈恩段,2.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLKKHOFFCM48CA,寶湖窟段,610.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLLKKHOFFDM78CA,廣興段,7.78,都市：住
RPSNMLLKKHOFFDM78CA,廣興段,23.71,都市：其他
RPSNMLLKKHOFFDM78CA,廣興段,72.82,都市：其他
RPSNMLLKKHOFFDM78CA,廣興段,43.29,都市：商
RPRNMLLJKHOFFDM58CA,中湖段,46.85,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLKKHOFFDM48CA,安定段,108.22,都市：住
RPPNMLLKKHOFFDM48CA,安定段,9.43,都市：住
RPQNMLOLKHOFFDM98CA,竹圍子段小段,87.00,都市：住
RPVNMLLKKHOFFAM78CA,內興段,136.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLLKKHOFFAM78CA,內興段,47.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLOKKHOFFBM98CA,草屯段,24.00,都市：商
RPTNMLRLKHOFFAM76DA,營南段,102.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRLKHOFFAM76DA,營南段,629.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNKKHOFFDM88CA,新初鄉段,41.88,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNKKHOFFDM88CA,新初鄉段,107.80,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLNKKHOFFDM88CA,新初鄉段,73.07,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLLJKHOFFBM28DA,新屋段,4.24,都市：住
RPSNMLNKKHOFFBM88DA,草屯段,49.00,都市：商
RPRNMLSKKHOFFDM86DA,石城段,159.38,都市：農
RPQNMLSKKHOFFDM76DA,石城段,159.38,都市：農
RPVNMLPLKHOFFBM76CA,北投埔段,1230.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLSKKHOFFDM96DA,石城段,159.38,都市：農
RPTNMLSKKHOFFDM07DA,石城段,159.38,都市：農
RPPNMLLKKHOFFAM28DA,福興段,88.46,都市：住
RPPNMLLKKHOFFAM28DA,福興段,4.86,都市：住
