village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
彰化市,房地(土地+建物),彰化縣彰化市民族路511~540號,5.71,商,,,1080125,土地1建物1車位0,七層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860226,44.17,1,1,1,有,無,2000000,45280,,0.0,0,,RPTNMLMKKHOFFAN78CA
彰化市,房地(土地+建物),彰化縣彰化市民族路129巷37弄1~30號,11.25,住,,,1071230,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830411,71.57,2,2,1,有,有,3000000,41917,,0.0,0,,RPQNMLOKKHOFFAN68CA
彰化市,土地,延和段961~990地號,593.2,,特定農業區,農牧用地,1080122,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,16858,,0.0,0,含增建或未登記建物。;,RPPOMLOKKHOFFAN68CA
芬園鄉,土地,中崙段1051~1080地號,563.71,,山坡地保育區,農牧用地,1071231,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060000,1880,,0.0,0,,RPSNMLTKKHOFFAN76CA
和美鎮,房地(土地+建物),彰化縣和美鎮和泰路31~60號,75.0,住,,,1080104,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841009,195.44,6,2,4,有,無,8800000,45027,,0.0,0,含增建或未登記建物。;,RPSNMLNKKHOFFBN88CA
和美鎮,房地(土地+建物),彰化縣和美鎮彰新路三段632巷60弄1~30號,85.17,,鄉村區,乙種建築用地,1071218,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0691225,151.96,3,2,2,有,無,6050000,39813,,0.0,0,含增建或未登記建物。,RPQNMLNLKHOFFBN78CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮詔安巷61~90號,80.32,,特定農業區,甲種建築用地,1080125,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071019,173.58,4,3,3,有,無,6800000,39175,,0.0,0,含增建或未登記建物。;,RPWNMLLKKHOFFCN56CA
鹿港鎮,土地,振興段31~60地號,307.5,,鄉村區,乙種建築用地,1080114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4650937,15125,,0.0,0,,RPQNMLNKKHOFFCN78CA
鹿港鎮,土地,振興段31~60地號,72.28,,特定農業區,農牧用地,1080114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,327947,4537,,0.0,0,,RPSNMLNKKHOFFCN98CA
福興鄉,土地,福園段811~840地號,369.42,,鄉村區,乙種建築用地,1071222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4987170,13500,,0.0,0,含增建或未登記建物。;辦理過戶有規之稅費土地增值稅及出售所得稅除外及地政士費用，均由買方負擔,RPWNMLMLKHOFFCN76CA
鹿港鎮,土地,上林段91~120地號,15815.19,,工業區,丁種建築用地,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,186579000,11797,,0.0,0,,RPSNMLRLKHOFFCN86CA
鹿港鎮,土地,上林段91~120地號,15815.19,,工業區,丁種建築用地,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,186579000,11797,,0.0,0,,RPTNMLRLKHOFFCN96CA
鹿港鎮,土地,上林段91~120地號,15815.19,,工業區,丁種建築用地,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,186579000,11797,,0.0,0,,RPUNMLRLKHOFFCN07CA
鹿港鎮,土地,上林段91~120地號,15815.19,,工業區,丁種建築用地,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,186579000,11797,,0.0,0,,RPVNMLRLKHOFFCN17CA
鹿港鎮,土地,上林段91~120地號,3306.0,,工業區,丁種建築用地,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000000,9074,,0.0,0,,RPWNMLRLKHOFFCN27CA
員林市,房地(土地+建物),彰化縣員林市萬年路三段353巷1~30號,20.6,住,,,1080102,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0730223,65.26,2,2,2,有,無,3500000,53632,,0.0,0,增建未保存部份建物亦買賣在內一併移轉,RPUOMLLKKHOFFDN56CA
員林市,房地(土地+建物),彰化縣員林市溝皂街181~210號,14.2,住,,,1080121,土地1建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070803,96.86,2,2,2,有,有,4890000,50485,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPPNMLKLKHOFFDN58CA
員林市,土地,圳南段691~720地號,5672.16,,特定農業區,農牧用地,1080111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36842000,6495,,0.0,0,,RPTNMLLLKHOFFDN09CA
