編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNLKHOFFBN78CA,38,151.96,住家用,見其他登記事項,69年12月25日,三層,一層 二層 三層 騎樓
RPQNMLOKKHOFFAN68CA,25,56.48,住家用,鋼筋混凝土造,83年4月11日,八層,八層
RPQNMLOKKHOFFAN68CA,25,15.09,見其他登記事項,鋼筋混凝土造,83年4月11日,八層,
RPWNMLLKKHOFFCN56CA,,173.58,住家用,鋼筋混凝土造,107年10月19日,三層,一層 二層 三層 見其他登記事項
RPTNMLMKKHOFFAN78CA,22,18.18,見其他登記事項,鋼筋混凝土造,86年2月26日,九層,
RPTNMLMKKHOFFAN78CA,22,25.99,住家用,鋼筋混凝土造,86年2月26日,九層,七層
RPUOMLLKKHOFFDN56CA,35,65.26,住商用,鋼筋混凝土造,73年2月23日,五層,一層 二層
RPSNMLMLKHOFFDN09CA,32,115.20,工業用,加強磚造,75年11月26日,一層,一層
RPSNMLNKKHOFFBN88CA,23,195.44,住家用,鋼筋混凝土造,84年10月9日,四層,一層 二層 三層 四層 騎樓
RPPNMLKLKHOFFDN58CA,,32.12,見其他登記事項,鋼筋混凝土造,107年8月3日,十七層,二層
RPPNMLKLKHOFFDN58CA,,32.12,見其他登記事項,鋼筋混凝土造,107年8月3日,十七層,二層
RPPNMLKLKHOFFDN58CA,,16.31,見其他登記事項,鋼筋混凝土造,107年8月3日,十七層,
RPPNMLKLKHOFFDN58CA,,16.31,見其他登記事項,鋼筋混凝土造,107年8月3日,十七層,
RPPNMLPKLHOFFHN86CA,41,107.75,住家用,鋼筋混凝土加強磚造,66年10月24日,三層,一層 二層 三層
RPRNMLMKKHOFFCN88DA,46,78.54,住家用,加強磚造,61年10月27日,二層,一層 二層 騎樓
RPRNMLLKKHOFFHN56CA,13,125.49,住家用,加強磚造,94年12月21日,二層,一層 二層 屋頂突出物
RPTNMLLKKHOFFBN88DA,23,150.24,住商用,鋼筋混凝土造,84年8月18日,三層,一層 二層 三層 騎樓
