編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLOKKHOFFAN68CA,延和段,146.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPPOMLOKKHOFFAN68CA,延和段,321.80,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLOKKHOFFAN68CA,延和段,125.40,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPSNMLTKKHOFFAN76CA,中崙段,26.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLTKKHOFFAN76CA,中崙段,13.94,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLTKKHOFFAN76CA,中崙段,75.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTKKHOFFAN76CA,中崙段,30.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTKKHOFFAN76CA,中崙段,29.09,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTKKHOFFAN76CA,中崙段,388.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLNKKHOFFCN98CA,振興段,43.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLNKKHOFFCN98CA,振興段,28.90,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKKHOFFCN78CA,振興段,109.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNKKHOFFCN78CA,振興段,198.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLKHOFFBN78CA,中圍段,85.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOKKHOFFAN68CA,大埔段,11.25,都市：住
RPWNMLLKKHOFFCN56CA,鹿安段,80.32,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLMKKHOFFAN78CA,孔門段,5.71,都市：商
RPSNMLRLKHOFFCN86CA,上林段,15815.19,非都市：工業區 ; 非都市編定：丁種建築用地
RPVNMLRLKHOFFCN17CA,上林段,15815.19,非都市：工業區 ; 非都市編定：丁種建築用地
RPWNMLRLKHOFFCN27CA,上林段,3306.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLRLKHOFFCN07CA,上林段,15815.19,非都市：工業區 ; 非都市編定：丁種建築用地
RPUOMLLKKHOFFDN56CA,員林段,20.60,都市：住
RPTNMLLLKHOFFDN09CA,圳南段,5672.16,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMLKHOFFDN09CA,新林厝段,441.94,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLPKKHOFFFN76CA,民生段,2142.00,都市：農
RPTNMLRLKHOFFCN96CA,上林段,15815.19,非都市：工業區 ; 非都市編定：丁種建築用地
RPTNMLNLKHOFFDN66CA,大田段,2.61,都市：其他
RPTNMLNLKHOFFDN66CA,大田段,.18,都市：住
RPTNMLNLKHOFFDN66CA,大田段,24.86,都市：其他
RPTNMLNLKHOFFDN66CA,大田段,479.88,都市：住
RPTNMLNLKHOFFDN66CA,大田段,14.99,都市：住
RPTNMLNLKHOFFDN66CA,大田段,18.30,都市：其他
RPTNMLNLKHOFFDN66CA,大田段,.70,都市：其他
RPTNMLNLKHOFFDN66CA,大田段,14.33,都市：其他
RPPOMLNLKHOFFDN98CA,三和段,831.25,都市：住
RPSNMLNKKHOFFBN88CA,和西段,75.00,都市：住
RPUNMLPLKHOFFFN17CA,忠孝段,2112.00,都市：農
RPPNMLLLKHOFFEN78CA,湳西段,1326.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLKHOFFDN58CA,溝皂段,7.10,都市：住
RPPNMLKLKHOFFDN58CA,溝皂段,7.10,都市：住
RPPNMLLJKHOFFEN58CA,興酪段,1113.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLLJKHOFFEN58CA,興酪段,1113.97,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLMLKHOFFEN66CA,仁雅段,119.25,都市：住
RPPNMLPKLHOFFHN86CA,光平段,65.00,都市：住
RPSNMLMLKHOFFGN76CA,王功段,1353.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQLKHOFFGN86CA,崙腳段,2248.75,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKLKHOFFGN88CA,永基段,1230.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLKHOFFGN88CA,永基段,1349.57,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLKHOFFGN88CA,永基段,1573.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLPKKHOFFGN27CA,儒生段,137.67,都市：住
RPRNMLPKKHOFFGN86CA,鎮安段,2.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLPKKHOFFGN86CA,鎮安段,144.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLKKHOFFHN09CA,和平段,836.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKKHOFFCN88DA,鹿盛段,63.51,都市：住
RPRNMLLKKHOFFHN56CA,新永昌段,10.69,都市：住
RPRNMLMKKHOFFCN88DA,鹿盛段,23.27,都市：住
RPRNMLLKKHOFFHN56CA,新永昌段,105.22,都市：住
RPWNMLMLKHOFFCN76CA,福園段,369.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLKHOFFDN78DA,地政段,51.00,都市：住
RPPNMLLKKHOFFGN88CA,上林段,2533.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLLKKHOFFBN88DA,和東段,72.00,都市：住
