village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路91~120號,14.51,商,,,1071216,土地1建物1車位1,二十一層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,181.67000000000002,3,2,2,有,有,15300000,84219,坡道平面,0.0,0,,RPROMLMKKHOFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市東明街173巷2弄1~30號,55.0,住,,,1071229,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0610310,84.0,4,2,2,有,無,8900000,105952,,0.0,0,,RPURMLMKKHOFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路一段52巷1~30號,12.38,住,,,1080106,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850830,112.86,2,2,1,有,有,5880000,52100,升降機械,0.0,0,,RPQTMLMKKHOFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市光復路一段268巷41弄1~30號,81.0,住,,,1080110,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0630201,194.83,4,2,3,有,無,9000000,46194,,0.0,0,,RPSOMLNKKHOFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市中華路四段160巷10弄1~30號,86.0,住,,,1071224,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0681117,104.4,5,2,3,有,無,3365600,32238,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPTOMLNKKHOFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市天府路一段481~510號,7.43,住,,,1080112,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970520,81.11,2,1,1,有,有,3500000,43151,,0.0,0,,RPSNMLPKKHOFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路三段301~330號,35.59,住,,,1071223,土地2建物1車位1,三層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041207,130.92000000000002,2,2,1,有,有,6180000,47204,坡道平面,34.91,0,,RPXOMLPKKHOFFAO07CA
新竹市,土地,東山段二小段121~150地號,166.0,住,,,1080124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,60241,,0.0,0,親友、員工或其他特殊關係間之交易。;本筆交易包含未保存登記之建物。本筆交易是二等親買賣。,RPSNMLSKKHOFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市民有二街10巷7弄1~30號,41.25,住,,,1071228,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821126,94.53,3,2,2,有,無,5900000,62414,,0.0,0,,RPXOMLSKKHOFFAO37CA
新竹市,房地(土地+建物),新竹市新竹市明湖路648巷18弄241~270號,233.58,,山坡地保育區,丙種建築用地,1071207,土地8建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1001220,364.8,5,3,5,有,有,21000000,57566,,0.0,0,,RPQOMLKLKHOFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段1~30號,8.42,商,,,1071212,土地1建物1車位1,三層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890417,104.15,1,1,1,有,有,3000000,28805,坡道平面,0.0,0,,RPQNMLMLKHOFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段89巷211~240號,22.59,住,,,1071224,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010528,144.78,4,4,4,有,有,8480000,58572,坡道平面,35.26,0,,RPSNMLMLKHOFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段71巷1~30號,16.07,住,,,1080111,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,111.03,3,2,2,有,有,6800000,61245,坡道平面,0.0,0,,RPTNMLMLKHOFFAO98CA
新竹市,土地,麗園段301~330地號,2514.22,,山坡地保育區,農牧用地,1071226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,3023,,0.0,0,,RPPPMLMLKHOFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市境福街61~90號,6.64,住,,,1071226,土地1建物1車位0,四層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960625,38.73,1,1,1,有,有,2200000,56804,,0.0,0,,RPSPMLPLKHOFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市建功一路59巷1~30號,28.66,住,,,1071231,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890930,141.21,3,2,2,有,有,9550000,67630,,0.0,0,,RPXNMLQLKHOFFAO17CA
新竹市,房地(土地+建物),新竹市新竹市水田街181~210號,20.3,住,,,1071224,土地2建物1車位0,一層,五層,店面(店鋪),商業用,鋼筋混凝土造,0760930,167.26,0,0,1,有,無,10500000,62777,,0.0,0,,RPUOMLQLKHOFFAO96CA
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路181~210號,22.99,住,,,1071212,土地1建物1車位2,十七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001121,204.63,3,2,2,有,有,15200000,74277,坡道平面,0.0,0,,RPRNMLLKKHOFFAO78EA
