編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLMKKHOFFAO78CA,3,103.62,見其他登記事項,鋼筋混凝土造,105年1月25日,二十八層,二十一層
RPROMLMKKHOFFAO78CA,3,28.93,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPROMLMKKHOFFAO78CA,3,19.83,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPROMLMKKHOFFAO78CA,3,.02,見其他登記事項,鋼筋混凝土造,105年1月25日,二十八層,一層
RPROMLMKKHOFFAO78CA,3,29.26,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPQTMLMKKHOFFAO56CA,22,69.72,住家用,鋼筋混凝土造,85年8月30日,十二層,十一層
RPQTMLMKKHOFFAO56CA,22,43.14,共有部分,鋼筋混凝土造,85年8月30日,十二層,
RPURMLMKKHOFFAO76CA,47,84.00,住家用,加強磚造,61年3月10日,二層,一層 二層
RPTOMLNKKHOFFAO09CA,39,104.40,住家用,加強磚造,68年11月17日,二層,一層 二層 騎樓
RPQNMLMLKHOFFAO68CA,19,50.40,住家用,鋼筋混凝土造,89年4月17日,十四層,三層
RPQNMLMLKHOFFAO68CA,19,14.09,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPQNMLMLKHOFFAO68CA,19,.12,見其他登記事項,鋼筋混凝土造,89年4月17日,十四層,
RPQNMLMLKHOFFAO68CA,19,39.54,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPQOMLKLKHOFFAO58CA,7,360.47,見其他登記事項,見其他登記事項,100年12月20日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPQOMLKLKHOFFAO58CA,9,3.69,辦公室,見其他登記事項,98年11月10日,二層,一層 二層 見其他登記事項
RPQOMLKLKHOFFAO58CA,9,.63,見其他登記事項,見其他登記事項,98年11月10日,二層,一層
RPXOMLSKKHOFFAO37CA,25,87.20,住家用,鋼筋混凝土造,82年11月26日,四層,四層
RPXOMLSKKHOFFAO37CA,25,7.33,共有部分,鋼筋混凝土造,82年11月26日,四層,
RPTNMLMLKHOFFAO98CA,25,92.72,住家用,鋼筋混凝土造,82年12月13日,十二層,十層
RPTNMLMLKHOFFAO98CA,25,8.25,共有部分,鋼筋混凝土造,82年12月13日,十二層,
RPTNMLMLKHOFFAO98CA,25,10.05,共有部分,鋼筋混凝土造,82年12月13日,十二層,
RPSNMLMLKHOFFAO88CA,7,72.29,見其他登記事項,鋼筋混凝土造,101年5月28日,七層,三層
RPSNMLMLKHOFFAO88CA,7,58.87,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPSNMLMLKHOFFAO88CA,7,6.30,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPSNMLMLKHOFFAO88CA,7,5.95,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPSNMLMLKHOFFAO88CA,7,1.38,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPXNMLQLKHOFFAO17CA,18,.04,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,.16,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,一層
RPXNMLQLKHOFFAO17CA,18,.05,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,.16,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,一層
RPXNMLQLKHOFFAO17CA,18,.04,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,48.36,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,十層
RPXNMLQLKHOFFAO17CA,18,.05,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,48.36,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,十層
RPXNMLQLKHOFFAO17CA,18,9.79,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,12.20,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,9.79,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPXNMLQLKHOFFAO17CA,18,12.20,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPUOMLQLKHOFFAO96CA,31,54.18,商業用,鋼筋混凝土造,76年9月30日,五層,一層
RPUOMLQLKHOFFAO96CA,31,113.08,見其他登記事項,鋼筋混凝土造,76年9月30日,五層,
RPSPMLPLKHOFFAO76CA,12,9.28,見其他登記事項,鋼筋混凝土造,96年6月25日,七層,
RPSPMLPLKHOFFAO76CA,12,26.45,見其他登記事項,鋼筋混凝土造,96年6月25日,七層,四層
