編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLMKKHOFFAO78CA,國道段,14.51,都市：商
RPQTMLMKKHOFFAO56CA,東山段一小段,12.38,都市：住
RPURMLMKKHOFFAO76CA,東明段,55.00,都市：住
RPTOMLNKKHOFFAO09CA,唐高段,54.00,都市：住
RPTOMLNKKHOFFAO09CA,唐高段,32.00,都市：住
RPQNMLMLKHOFFAO68CA,聚吉段,8.42,都市：商
RPQOMLKLKHOFFAO58CA,雅溪段,2.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,94.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,5.60,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,126.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,3.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKLKHOFFAO58CA,雅溪段,.53,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLSKKHOFFAO76CA,東山段二小段,166.00,都市：住
RPPPMLMLKHOFFAO78CA,麗園段,2514.22,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXOMLSKKHOFFAO37CA,科園段龍山小段,41.25,都市：住
RPTNMLMLKHOFFAO98CA,東橋段,16.07,都市：住
RPSNMLMLKHOFFAO88CA,東橋段,22.59,都市：住
RPXNMLQLKHOFFAO17CA,光復段,14.33,都市：住
RPXNMLQLKHOFFAO17CA,光復段,14.33,都市：住
RPUOMLQLKHOFFAO96CA,光華段,10.40,都市：住
RPUOMLQLKHOFFAO96CA,光華段,9.90,都市：住
RPSPMLPLKHOFFAO76CA,福林段,6.64,都市：住
RPRNMLLKKHOFFAO78EA,長春段,22.99,都市：住
RPSNMLPKKHOFFAO09CA,西濱段,7.43,都市：住
RPXOMLPKKHOFFAO07CA,康朗段,6.79,都市：農
RPXOMLPKKHOFFAO07CA,康朗段,28.79,都市：住
RPSOMLNKKHOFFAO98CA,關東段,81.00,都市：住
