village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
斗六市,土地,大崙段大崙小段451~480地號,5018.0,,特定農業區,農牧用地,1071204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27000000,5381,,0.0,0,,RPXNMLLJKHOFFAP56CA
斗六市,土地,雲林溪段121~150地號,163.0,住,,,1071209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,61350,,0.0,0,,RPSOMLLKKHOFFAP88CA
林內鄉,土地,重興段721~750地號,4698.52,,特定農業區,農牧用地,1071228,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,1745,,0.0,0,,RPTOMLLKKHOFFAP98CA
斗南鎮,土地,小東段991~1020地號,744.0,工,,,1080113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6070000,8159,,0.0,0,,RPPNMLMKKHOFFBP68CA
大埤鄉,房地(土地+建物),雲林縣大埤鄉民生路31~60號,89.19,住,,,1071214,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070514,177.59,4,2,3,有,無,8880000,50003,,0.0,0,,RPQNMLMKKHOFFBP78CA
大埤鄉,房地(土地+建物),雲林縣大埤鄉民生路31~60號,87.82,住,,,1071214,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070514,177.59,4,2,3,有,無,9000000,50679,,0.0,0,,RPRNMLMKKHOFFBP88CA
大埤鄉,房地(土地+建物),雲林縣大埤鄉民生路31~60號,95.32,住,,,1071214,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070514,154.8,4,2,3,有,無,7800000,50388,,0.0,0,,RPSNMLMKKHOFFBP98CA
大埤鄉,房地(土地+建物),雲林縣大埤鄉民生路31~60號,79.86,住,,,1071227,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070514,179.17,4,2,3,有,無,8500000,47441,,0.0,0,,RPTNMLMKKHOFFBP09CA
大埤鄉,土地,大埤段4471~4500地號,1629.0,,特定農業區,農牧用地,1071224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2450000,1504,,0.0,0,,RPVNMLMKKHOFFBP66CA
斗南鎮,土地,南勢段811~840地號,3085.0,,特定農業區,農牧用地,1071213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,2593,,0.0,0,地上未辦保存豬舍建物及相關設施一併出售。,RPQNMLOKKHOFFBP98CA
大埤鄉,房地(土地+建物),雲林縣大埤鄉和平路211~240號,147.0,住,,,1080116,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070921,187.02,4,2,3,有,無,7280000,38926,,0.0,0,此交易含室內裝修費用,RPUNMLNLKHOFFBP76CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街101巷1弄1~30號,134.33,住,,,1071231,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071121,169.56,4,1,4,有,無,7500000,44232,,0.0,0,,RPTNMLPLKHOFFBP86CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街101巷1弄1~30號,134.33,住,,,1071231,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071121,169.56,4,1,4,有,無,7550000,44527,,0.0,0,,RPUNMLPLKHOFFBP96CA
斗南鎮,土地,阿丹段631~660地號,1800.0,,特定農業區,農牧用地,1080109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1260000,700,,0.0,0,本筆訂有三七五租約。,RPWNMLPLKHOFFBP17CA
大埤鄉,房地(土地+建物),雲林縣大埤鄉尚義路31~60號,204.82,,鄉村區,乙種建築用地,1071116,土地5建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830928,244.92,4,3,4,有,無,3600000,14699,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPJLHOFFBP86CA
崙背鄉,土地,豐草段211~240地號,884.0,,特定農業區,農牧用地,1080123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,795600,900,,0.0,0,有民情風俗因素之交易。;,RPVNMLLJKHOFFCP56CA
西螺鎮,土地,社東段541~570地號,45.9,商,,,1080124,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,6536,,0.0,0,權利人所有建物及庭院越界使用範圍之買賣,RPSNMLLKKHOFFCP98CA
二崙鄉,土地,新港後段481~510地號,2025.11,,特定農業區,農牧用地,1080121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4050220,2000,,0.0,0,,RPTNMLMKKHOFFCP56CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉民智路61~90號,3233.0,,特定農業區,農牧用地,1080109,土地1建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,0800420,1147.91,0,0,0,無,無,11200000,9757,,0.0,0,,RPXNMLMKKHOFFCP96CA
