編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLMKKHOFFBP09CA,1,179.17,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,一層 二層 三層 見其他登記事項
RPSNMLMKKHOFFBP98CA,1,154.80,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,一層 二層 三層
RPQNMLMKKHOFFBP78CA,1,177.59,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,一層 二層 三層 見其他登記事項
RPRNMLMKKHOFFBP88CA,1,177.59,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,一層 二層 三層 見其他登記事項
RPUNMLNLKHOFFBP76CA,,187.02,住家用,鋼筋混凝土造,107年9月21日,三層,一層 二層 三層
RPQNMLRLKHOFFCP86CA,4,216.96,見其他登記事項,鋼筋混凝土造,104年3月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLPLKHOFFBP86CA,,169.56,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPUNMLPLKHOFFBP96CA,,169.56,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPXNMLMKKHOFFCP96CA,28,1147.91,見其他登記事項,見其他登記事項,80年4月20日,一層,一層
RPUNMLPJLHOFFBP86CA,24,244.92,住商用,鋼筋混凝土造,83年9月28日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPSNMLOJLHOFFDP76CA,14,167.36,住家用,鋼筋混凝土造,93年7月26日,三層,一層 二層 三層 電梯樓梯間
RPWNMLMKKHOFFDP07DA,6,180.05,見其他登記事項,鋼筋混凝土造,101年7月26日,三層,一層 二層 三層 見其他登記事項
RPTNMLTKKHOFFAP27EA,39,106.98,住家用,鋼筋混凝土加強磚造,68年12月26日,二層,一層 二層 騎樓 電梯樓梯間
