編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLOKKHOFFBP98CA,南勢段,3085.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLMKKHOFFBP66CA,大埤段,1629.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLMKKHOFFBP09CA,大埤段,79.86,都市：住
RPSNMLMKKHOFFBP98CA,大埤段,93.32,都市：住
RPSNMLMKKHOFFBP98CA,大埤段,1.00,都市：其他
RPSNMLMKKHOFFBP98CA,大埤段,1.00,都市：其他
RPTOMLLKKHOFFAP98CA,重興段,606.51,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLLKKHOFFAP98CA,重興段,1859.82,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLLKKHOFFAP98CA,重興段,1050.06,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLLKKHOFFAP98CA,重興段,1182.13,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLMKKHOFFBP68CA,小東段,744.00,都市：工
RPQNMLMKKHOFFBP78CA,大埤段,89.19,都市：住
RPXNMLLJKHOFFAP56CA,大崙段大崙小段,2509.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLLJKHOFFAP56CA,大崙段大崙小段,2509.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLMKKHOFFBP88CA,大埤段,84.92,都市：住
RPRNMLMKKHOFFBP88CA,大埤段,1.00,都市：其他
RPRNMLMKKHOFFBP88CA,大埤段,1.00,都市：其他
RPRNMLMKKHOFFBP88CA,大埤段,.90,都市：其他
RPSOMLLKKHOFFAP88CA,雲林溪段,163.00,都市：住
RPWNMLPLKHOFFBP17CA,阿丹段,1800.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLLKKHOFFCP98CA,社東段,4.00,都市：其他
RPSNMLLKKHOFFCP98CA,社東段,41.90,都市：商
RPUNMLNLKHOFFBP76CA,大埤段,1.00,都市：住
RPUNMLNLKHOFFBP76CA,大埤段,146.00,都市：住
RPQNMLRLKHOFFCP86CA,順天段,108.00,都市：住
RPTNMLPLKHOFFBP86CA,明昌段,106.00,都市：住
RPTNMLPLKHOFFBP86CA,明昌段,28.33,都市：住
RPUNMLPLKHOFFBP96CA,明昌段,106.00,都市：住
RPUNMLPLKHOFFBP96CA,明昌段,28.33,都市：住
RPTNMLMKKHOFFCP56CA,新港後段,2025.11,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLMKKHOFFCP96CA,五塊厝段,3233.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLPJLHOFFBP86CA,尚義段,25.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJLHOFFBP86CA,尚義段,4.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJLHOFFBP86CA,尚義段,6.45,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLPJLHOFFBP86CA,尚義段,58.80,非都市：鄉村區 ; 非都市編定：交通用地
RPUNMLPJLHOFFBP86CA,尚義段,110.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLLJKHOFFCP56CA,豐草段,884.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOJLHOFFDP76CA,光明段,88.14,都市：農
RPSNMLOJLHOFFDP76CA,光明段,13.02,都市：農
RPVNMLRKKHOFFDP37CA,奮起段,1827.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLRKKHOFFDP37CA,奮起段,2810.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLMKKHOFFDP07DA,復興段,98.00,都市：住
RPRNMLNKKHOFFEP66CA,新東段,313.75,都市：住
RPQNMLLJKHOFFFP98CA,東南段,118.00,都市：農
RPQNMLLJKHOFFFP98CA,東南段,64.33,都市：農
RPUNMLMKKHOFFBP76EA,大東段大東小段,1111.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLKKHOFFDP88CA,蕃薯段,1885.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLPLKHOFFEP27DA,東光段,99.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLKKHOFFEP88CA,拔拉段,64.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKKHOFFFP56CA,五港段,288.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKKHOFFFP56CA,五港段,47.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLLJKHOFFEP86CA,福茂段,257.11,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLPKKHOFFAP76EA,新園段,396.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLTKKHOFFAP27EA,海豐崙段海豐崙小段,74.00,都市：住
