編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLKLKHOFFBQ88CA,內厝段,112.00,都市：住
RPRNMLKLKHOFFBQ88CA,內厝段,11.67,都市：住
RPVNMLPLKHOFFBQ27DA,東石段,70.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNKKHOFFEQ86CA,覆金段,2601.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLKLKHOFFCQ88CA,新庄段,44.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLKLKHOFFCQ98CA,新庄段,44.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHOFFCQ09CA,埤頭段共和小段,2855.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSKKHOFFCQ86CA,西庄段西庄小段,2425.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOKKHOFFCQ76CA,古民段新民小段,2346.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLNKKHOFFDQ86DA,嘉太段,12.99,非都市：鄉村區 ; 非都市編定：交通用地
RPSNMLNKKHOFFDQ86DA,嘉太段,48.60,非都市：鄉村區 ; 非都市編定：遊憩用地
RPRNMLMKKHOFFEQ66CA,梅北段,312.00,都市：商
RPVNMLQKKHOFFCQ27CA,東林段,280.41,都市：住
RPSNMLLKKHOFFDQ66DA,新三界埔段,329.31,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLLKKHOFFDQ66DA,新三界埔段,174.67,非都市：特定農業區 ; 非都市編定：甲種建築用地
