village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
屏東巿,土地,歸義段511~540地號,445.96,,一般農業區,農牧用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1070304,2400,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLLJKHOFFAT88CA
屏東巿,土地,三山段451~480地號,269.82,,鄉村區,乙種建築用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4081000,15125,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLLKKHOFFAT88CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉光明街31~60號,43.0,住,,,1080116,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0660922,52.08,3,1,2,有,無,650000,12481,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPVNMLLKKHOFFAT86CA
長治鄉,土地,永興段421~450地號,90.34,農,,,1080119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,546400,6048,,0.0,0,,RPPNMLNKKHOFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東市徐州路151~180號,14.2,住,,,1080118,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831216,55.15,1,1,1,有,無,1200000,21759,,0.0,0,,RPQOMLNKKHOFFAT66CA
屏東巿,車位,屏東縣屏東市機場北路421~450號,0.0,,,,1080118,土地0建物0車位1,,,其他,,,,24.01,0,0,0,有,有,480000,,坡道平面,24.0,480000,,RPUOMLNKKHOFFAT07CA
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉中山路331~360號,74.76,住,,,1071228,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0690805,142.8,4,2,3,有,無,4700000,32913,,0.0,0,,RPOOMLSKKHOFFAT96CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉中興路二段511~540號,126.0,住,,,1080116,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0771222,228.37,3,3,3,有,無,6900000,30214,,0.0,0,,RPTPMLSKKHOFFAT57CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉中興路二段541~570號,127.0,住,,,1080116,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0771228,228.88,3,3,3,有,無,6900000,30147,,0.0,0,,SPTPMLSKKHOFFAT67CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉吉林路91~120號,101.74,,鄉村區,乙種建築用地,1071222,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071005,166.51,5,1,4,有,無,7088000,42568,,0.0,0,,RPUNMLTKKHOFFAT57CA
萬丹鄉,土地,新全段511~540地號,2769.0,,特定農業區,農牧用地,1080123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8710000,3146,,0.0,0,含增建或未登記建物。;急買急賣。;,RPTNMLNLKHOFFAT96CA
