編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLNKKHOFFAT66CA,24,43.64,住家用,鋼筋混凝土造,83年12月16日,五層,三層
RPQOMLNKKHOFFAT66CA,24,11.51,見其他登記事項,鋼筋混凝土造,83年12月16日,五層,
RPVNMLLKKHOFFAT86CA,41,52.08,住商用,加強磚造,66年9月22日,二層,一層 二層 騎樓
RPUOMLNKKHOFFAT07CA,19,24.01,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPTPMLSKKHOFFAT57CA,30,228.37,住商用,鋼筋混凝土造,77年12月22日,三層,一層 二層 三層
SPTPMLSKKHOFFAT67CA,30,228.88,住商用,鋼筋混凝土造,77年12月28日,三層,一層 二層 三層
RPOOMLSKKHOFFAT96CA,38,142.80,住商用,鋼筋混凝土造,69年8月5日,三層,一層 二層 三層 騎樓
RPUNMLTKKHOFFAT57CA,,166.51,住家用,鋼筋混凝土造,107年10月5日,三層,一層 二層 三層
RPUOMLNLKHOFFAT17CA,21,51.81,住商用,鋼筋混凝土造,86年8月26日,二層,一層 二層 騎樓
RPROMLRLKHOFFAT27CA,23,24.56,住家用,鋼筋混凝土造,85年1月10日,四層,一層
RPROMLRLKHOFFAT27CA,23,9.34,住家用,鋼筋混凝土造,85年1月10日,四層,
RPWNMLLJKHOFFCT07CA,39,166.32,住商用,鋼筋混凝土造,68年12月28日,三層,一層 二層 三層 騎樓
RPXNMLNLKHOFFAT37CA,37,46.15,住商用,加強磚造,70年8月7日,二層,一層 二層 騎樓
RPXNMLNLKHOFFAT37CA,37,46.15,住商用,加強磚造,70年8月7日,二層,一層 二層 騎樓
RPQNMLLKKHOFFDT66CA,25,99.14,國民住宅,鋼筋混凝土造,83年6月25日,五層,五層
RPQNMLLKKHOFFDT66CA,25,20.48,見其他登記事項,鋼筋混凝土造,83年6月25日,五層,
RPRNMLPLKHOFFCT27DA,24,17.09,住家用,鋼筋混凝土造,84年7月10日,六層,二層
RPRNMLPLKHOFFCT27DA,24,11.17,住家用,鋼筋混凝土造,84年7月10日,六層,
RPTNMLOJLHOFFDT27CA,,139.30,見其他登記事項,見其他登記事項,107年8月27日,五層,五層 見其他登記事項
RPTNMLOJLHOFFDT27CA,,45.41,見其他登記事項,見其他登記事項,107年8月27日,五層,
RPRNMLTKKHOFFDT57CA,25,71.94,住家用,鋼筋混凝土造,82年7月31日,七層,三層
RPRNMLTKKHOFFDT57CA,25,27.92,見其他登記事項,鋼筋混凝土造,82年7月31日,,
RPRNMLMKKHOFFAT66DA,23,179.20,住商用,鋼筋混凝土造,84年8月28日,四層,一層 二層 三層 四層
