編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLNKKHOFFAT09CA,永興段,45.17,都市：農
RPPNMLNKKHOFFAT09CA,永興段,45.17,都市：農
RPQOMLNKKHOFFAT66CA,檳榔腳段二小段,14.20,都市：住
RPVNMLLKKHOFFAT86CA,萬全段,43.00,都市：住
RPTNMLNLKHOFFAT96CA,新全段,2769.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLKKHOFFAT88CA,三山段,269.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLSKKHOFFAT57CA,寶厝段,126.00,都市：住
SPTPMLSKKHOFFAT67CA,寶厝段,127.00,都市：住
RPOPMLLJKHOFFAT88CA,歸義段,445.96,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLSKKHOFFAT96CA,麟義段,74.76,都市：住
RPUNMLTKKHOFFAT57CA,社上段,101.74,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNLKHOFFAT17CA,福光段,28.00,都市：住
RPPOMLNLKHOFFAT66CA,信和段,1119.74,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQLKHOFFBT17CA,舊寮段,155.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLQLKHOFFBT17CA,舊寮段,414.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQLKHOFFBT17CA,舊寮段,3369.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLQLKHOFFBT17CA,舊寮段,195.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPROMLRLKHOFFAT27CA,清溪段,1.43,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLRLKHOFFAT27CA,清溪段,6.74,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLNKKHOFFBT56CA,南華段,486.34,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLQLKHOFFBT07CA,舊寮段,299.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLQLKHOFFBT07CA,舊寮段,883.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKKHOFFCT66CA,崙潮段,28.52,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLLKKHOFFCT56CA,新埔段,303.00,都市：農
RPQNMLLKKHOFFCT56CA,新埔段,41.47,都市：農
RPQNMLMKKHOFFCT66CA,赤山段一小段,11.88,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKKHOFFCT66CA,赤山段一小段,7.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKKHOFFCT66CA,赤山段一小段,660.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLLJKHOFFCT07CA,明德段,21.59,都市：住
RPWNMLLJKHOFFCT07CA,明德段,71.93,都市：住
RPQNMLNKKHOFFCT76CA,崙潮段,25.41,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLNKKHOFFCT76CA,崙潮段,22.78,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLNKKHOFFCT86CA,崙潮段,8.34,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLNLKHOFFCT17CA,興美段,1987.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLNLKHOFFAT37CA,清溪段,43.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLNLKHOFFAT37CA,清溪段,43.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLKKHOFFDT56CA,新和段,37.21,都市：住
RPPNMLLKKHOFFDT56CA,新和段,7.00,都市：住
RPPNMLLKKHOFFDT56CA,新和段,1.02,都市：其他
RPSNMLNLKHOFFCT07CA,興美段,2408.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPKKHOFFDT07CA,港東段,239.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLKKHOFFDT66CA,東新段,43.65,都市：住
RPUNMLRLKHOFFCT67CA,東寧段,24.72,都市：其他
RPUNMLRLKHOFFCT67CA,東寧段,176.44,都市：其他
RPUNMLRLKHOFFCT67CA,東寧段,.83,都市：住
RPUNMLRLKHOFFCT67CA,東寧段,994.06,都市：住
RPUNMLRLKHOFFCT67CA,東寧段,105.57,都市：其他
RPUNMLRLKHOFFCT67CA,東寧段,4.60,都市：其他
RPPNMLMKKHOFFDT66CA,三隆段,1677.63,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSKKHOFFDT37CA,南龍段,262.38,都市：其他
RPQNMLSKKHOFFDT37CA,南龍段,165.97,都市：其他
RPQNMLSKKHOFFDT37CA,南龍段,165.97,都市：其他
RPQNMLSKKHOFFDT37CA,南龍段,165.97,都市：其他
RPXOMLKLKHOFFFT67CA,草埔段,120.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXOMLKLKHOFFFT67CA,草埔段,9.33,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXOMLKLKHOFFFT67CA,草埔段,42.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVPMLKLKHOFFFT57CA,草埔段,2.33,非都市：山坡地保育區 ; 非都市編定：林業用地
RPVQMLKLKHOFFFT67CA,草埔段,23.75,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWQMLKLKHOFFFT77CA,草埔段,23.75,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLPLKHOFFCT27DA,美和段,8.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHOFFDT27CA,新利段,7.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHOFFDT27CA,新利段,13.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHOFFDT27CA,新利段,9.71,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHOFFDT27CA,新利段,15.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHOFFDT27CA,新利段,8.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
