編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLLKKHOFFAU98CA,24,83.76,住家用,鋼筋混凝土造,84年5月16日,八層,三層
RPPNMLLKKHOFFAU98CA,24,43.35,共有部份,鋼筋混凝土造,84年5月16日,八層,
RPPOMLPKKHOFFAU86CA,23,108.80,商業用,鋼筋混凝土造,85年6月25日,八層,一層
RPPOMLPKKHOFFAU86CA,23,10.84,共有部份,鋼筋混凝土造,85年6月25日,八層,
RPPOMLPKKHOFFAU86CA,23,14.13,見其他登記事項,鋼筋混凝土造,85年6月25日,八層,地下一層
RPPOMLPKKHOFFAU86CA,23,30.48,共有部份,鋼筋混凝土造,85年6月25日,八層,
RPSOMLSKKHOFFAU47CA,26,128.32,住家用,鋼筋混凝土造,82年1月11日,九層,五層
RPSOMLSKKHOFFAU47CA,26,24.85,共有部份,鋼筋混凝土造,82年1月11日,九層,
RPVNMLLKKHOFFAU96CA,42,93.61,住家用,鋼筋混凝土加強磚造,65年12月3日,二層,一層 二層
RPPOMLLKKHOFFAU09CA,18,264.80,農舍,鋼筋混凝土造,89年8月18日,三層,一層 二層 三層
RPXNMLOJLHOFFAU47CA,,257.30,見其他登記事項,鋼筋混凝土造,107年8月21日,四層,一層 二層 三層 四層 屋頂突出物
