編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLLKKHOFFAU98CA,仁恥段,23.77,都市：住
RPRNMLMKKHOFFCU86CA,興南段,4328.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLPKKHOFFAU86CA,民勤段,23.73,都市：住
RPOOMLLJKHOFFAU09EA,萬壽段三小段,9692.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLNKKHOFFAU07CA,忠孝段,1315.98,都市：農
RPUNMLNKKHOFFAU07CA,忠孝段,1269.67,都市：農
RPSOMLSKKHOFFAU47CA,富國段,18.13,都市：商
RPVNMLLKKHOFFAU96CA,永安段,79.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLLKKHOFFAU09CA,光明段,466.43,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLLKKHOFFAU09CA,光明段,1499.78,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLOJLHOFFAU47CA,民心段,99.00,都市：工
