編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLLJKHOFFAV96CA,1,30.34,見其他登記事項,見其他登記事項,107年3月23日,九層,
RPWNMLLKKHOFFAV17CA,26,178.03,住家用,鋼筋混凝土造,81年12月28日,三層,一層 二層 三層
RPRNMLSKKHOFFAV37CA,25,83.80,住家用,鋼筋混凝土造,83年6月1日,三層,二層
RPRNMLSKKHOFFAV37CA,25,9.54,住商用,鋼筋混凝土造,83年6月1日,三層,
RPQNMLMKKHOFFAV66CA,23,131.98,住家用,鋼筋混凝土造,84年12月4日,十六層,七層
RPQNMLMKKHOFFAV66CA,23,50.22,見其他登記事項,鋼筋混凝土造,84年12月4日,十六層,
RPRNMLOKKHOFFAV96CA,9,226.85,住家用,見其他登記事項,98年12月11日,三層,一層 二層 三層
RPPNMLNKKHOFFAV66CA,1,246.92,見其他登記事項,見其他登記事項,107年7月2日,三層,一層 二層 三層 屋頂突出物
RPQNMLLJKHOFFDV76CA,24,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,六層
RPQNMLLJKHOFFDV76CA,24,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPQNMLSKKHOFFAV37DA,42,35.76,住家用,見其他登記事項,66年5月1日,二層,一層 二層
