編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTPMLLJKHOFFAV96CA,常德段,3.84,都市：商
RPQNMLLKKHOFFAV66DA,下賓朗段,7.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLLKKHOFFAV17CA,自強段,122.90,都市：住
RPRNMLSKKHOFFAV37CA,利家段,16.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKKHOFFAV66CA,台東段,20.62,都市：住
RPRNMLOKKHOFFAV96CA,馬蘭段,124.00,都市：住
RPPNMLNKKHOFFAV66CA,永清段,135.81,都市：住
RPPNMLNKKHOFFAV66CA,永清段,.93,都市：其他
RPPNMLMLKHOFFAV66CA,台東段,761.00,都市：其他
RPQNMLLJKHOFFAV09CA,常德段,204.11,都市：住
RPQNMLLJKHOFFDV76CA,秀山段,8.08,都市：商
RPQNMLLJKHOFFDV76CA,秀山段,.00,都市：商
RPQNMLSKKHOFFAV37DA,下賓朗段,58.64,非都市：一般農業區 ; 非都市編定：甲種建築用地
