編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLLJKHOFFAX76CA,二崁南段,3.01,都市：其他
RPRNMLLJKHOFFAX76CA,二崁南段,47.86,都市：住
RPRNMLLJKHOFFAX76CA,二崁南段,110.56,都市：住
RPRNMLLJKHOFFAX76CA,二崁南段,74.73,都市：其他
RPRNMLLJKHOFFAX76CA,二崁南段,63.00,都市：住
RPRNMLLJKHOFFAX76CA,二崁南段,15.46,都市：農
RPRNMLLJKHOFFAX76CA,二崁南段,.70,都市：住
RPRNMLLJKHOFFAX76CA,二崁南段,83.08,都市：其他
RPVNMLOKKHOFFAX57CA,通梁南段,8.33,都市：其他
RPWNMLOKKHOFFAX67CA,通梁南段,8.33,都市：其他
RPTNMLMKKHOFFAX17CA,興崁段,102.37,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLMKKHOFFAX17CA,興崁段,991.05,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOKKHOFFAX17CA,赤崁北段,1092.54,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOKKHOFFAX17DA,五福段,165.35,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLOKKHOFFAX17DA,五福段,50.41,非都市：一般農業區 ; 非都市編定：交通用地
